Entity,Code,Year,"Age-standardized deaths that are from respiratory diseases per 100,000 people, in both sexes aged all ages"
Czechia,CZE,1990,22.896053
Czechia,CZE,2000,13.818848
Czechia,CZE,2010,13.614229
Czechia,CZE,2021,16.052515
Saint Lucia,LCA,1968,20.693758
Saint Lucia,LCA,1980,32.84939
Saint Lucia,LCA,1990,33.236904
Saint Lucia,LCA,2000,24.023247
Saint Lucia,LCA,2010,28.656973
Saint Vincent and the Grenadines,VCT,1990,16.942566
Saint Vincent and the Grenadines,VCT,2000,15.662969
Saint Vincent and the Grenadines,VCT,2010,22.62165
Saint Vincent and the Grenadines,VCT,2021,22.311518
South Korea,KOR,1990,20.73405
South Korea,KOR,2000,30.164885
South Korea,KOR,2010,17.769735
Syria,SYR,2000,20.617434
Syria,SYR,2010,26.258167
