Entity,Code,Year,"Current number of cases of idiopathic developmental intellectual disability per 100 people, in both sexes aged age-standardized"
Belarus,BLR,1990,0.9446848
Belarus,BLR,1995,1.0427766
Belarus,BLR,2000,1.1264719
Belarus,BLR,2005,0.99387217
Belarus,BLR,2010,0.7848797
Belarus,BLR,2015,0.64978874
Belarus,BLR,2019,0.61800086
Malawi,MWI,1990,1.3420693
Malawi,MWI,1995,1.385789
Malawi,MWI,2000,1.330804
Malawi,MWI,2005,1.3576617
Malawi,MWI,2010,1.2860554
Malawi,MWI,2015,1.1776782
Malawi,MWI,2019,1.1449251
Sweden,SWE,1990,0.5677894
Sweden,SWE,1995,0.58540356
Sweden,SWE,2000,0.56383336
Sweden,SWE,2005,0.5335831
Sweden,SWE,2010,0.49650475
Sweden,SWE,2015,0.47799867
Sweden,SWE,2019,0.5502935
Syria,SYR,1990,2.8257513
Syria,SYR,1995,2.725327
Syria,SYR,2000,2.60845
Syria,SYR,2005,2.4642496
Syria,SYR,2010,2.264301
Syria,SYR,2015,2.402404
Syria,SYR,2019,2.5635245
United Kingdom,GBR,1990,0.4538729
United Kingdom,GBR,1995,0.43437043
United Kingdom,GBR,2000,0.39390388
United Kingdom,GBR,2005,0.36232027
United Kingdom,GBR,2010,0.34640867
United Kingdom,GBR,2015,0.34127447
United Kingdom,GBR,2019,0.32968438
United States,USA,1990,0.5340631
United States,USA,1995,0.5220886
United States,USA,2000,0.5098635
United States,USA,2005,0.4983795
United States,USA,2010,0.45594388
United States,USA,2015,0.44834524
United States,USA,2019,0.42826408
