Entity,Code,Year,Important in life: Friends,Continent
Albania,ALB,2022,91.1757,
Armenia,ARM,2022,86.03408,
Bolivia,BOL,2022,48.71795,
Bosnia and Herzegovina,BIH,2022,93.05146,
France,FRA,2022,90.55931,
Greece,GRC,2022,92.19035,
Kazakhstan,KAZ,2022,84.79623,
Latvia,LVA,2022,88.56535,
Libya,LBY,2022,96.07024,
Montenegro,MNE,2022,95.34689,
Myanmar,MMR,2022,75.83334,
Netherlands,NLD,2022,94.34747,
New Zealand,NZL,2022,94.53281,
Nigeria,NGA,2022,89.92316,
Norway,NOR,2022,98.22691,
Puerto Rico,PRI,2022,82.87489,
Singapore,SGP,2022,91.86488,
Uruguay,URY,2022,81.17366,
