Entity,Code,Year,"10.b.1 - Total assistance for development, by recipient countries (millions of current United States dollars) - DC_TRF_TOTL"
Gabon,GAB,2000,76530000.0
Gabon,GAB,2005,-78360000.0
Gabon,GAB,2010,503640000.0
Gabon,GAB,2015,-787020000.0
Gabon,GAB,2021,-162480000.0
Peru,PER,2000,582150000.0
Peru,PER,2005,2522970000.0
Peru,PER,2010,1875100000.0
Peru,PER,2015,3580270000.0
Peru,PER,2021,5178460000.0
Solomon Islands,SLB,2000,55080000.0
Solomon Islands,SLB,2005,168590000.0
Solomon Islands,SLB,2010,395490000.0
Solomon Islands,SLB,2015,201670000.0
Solomon Islands,SLB,2021,265459999.99999997
Syria,SYR,2000,212160000.0
Syria,SYR,2005,102390000.0
Syria,SYR,2010,352570000.0
Syria,SYR,2015,4873450000.0
Syria,SYR,2021,9678830000.0
Turks and Caicos Islands,TCA,2000,-6350000.0
Turks and Caicos Islands,TCA,2005,135730000.0
Wallis and Futuna,WLF,2000,53300000.0
Wallis and Futuna,WLF,2005,69010000.0
Wallis and Futuna,WLF,2010,122370000.0
Wallis and Futuna,WLF,2015,131130000.0
Wallis and Futuna,WLF,2021,81020000.0
