Entity,Code,Year,GDP per capita,417485-annotations
East Asia (MPD),,1820,1088.585,
East Asia (MPD),,1850,899.65765,
East Asia (MPD),,1900,1086.3285,
East Asia (MPD),,1950,1121.6674,
East Asia (MPD),,2000,8163.8394,
East Asia (MPD),,2018,16326.953,
Eastern Europe (MPD),,1820,818.0,
Eastern Europe (MPD),,1850,985.0,
Eastern Europe (MPD),,1900,2700.0,
Eastern Europe (MPD),,1950,4082.103,
Eastern Europe (MPD),,2000,8985.54,
Eastern Europe (MPD),,2018,20680.586,
Latin America (MPD),,1820,952.81683,
Latin America (MPD),,1850,1080.6573,
Latin America (MPD),,1900,1750.6267,
Latin America (MPD),,1950,3712.964,
Latin America (MPD),,2000,10225.445,
Latin America (MPD),,2018,14076.044,
Middle East (MPD),,1820,974.0,
Middle East (MPD),,1850,1000.0,
Middle East (MPD),,1900,1300.0,
Middle East (MPD),,1950,2393.03,
Middle East (MPD),,2000,9639.639,
Middle East (MPD),,2018,18429.74,
South and South-East Asia (MPD),,1820,929.0,
South and South-East Asia (MPD),,1850,929.0,
South and South-East Asia (MPD),,1900,994.419,
South and South-East Asia (MPD),,1950,1069.7145,
South and South-East Asia (MPD),,2000,3437.2883,
South and South-East Asia (MPD),,2018,7648.664,
Sub-Saharan Africa (MPD),,1820,800.0,
Sub-Saharan Africa (MPD),,1850,800.0,
Sub-Saharan Africa (MPD),,1900,850.0,
Sub-Saharan Africa (MPD),,1950,1322.685,
Sub-Saharan Africa (MPD),,2000,1981.2157,
Sub-Saharan Africa (MPD),,2018,3532.3733,
Western Europe (MPD),,1820,2306.9668,
Western Europe (MPD),,1850,2678.0,
Western Europe (MPD),,1900,4724.296,
Western Europe (MPD),,1950,7263.2617,
Western Europe (MPD),,2000,32536.307,
Western Europe (MPD),,2018,39789.9,
Western offshoots (MPD),,1820,2513.0454,"United States, Canada, Australia and New Zealand"
Western offshoots (MPD),,1850,3474.4102,"United States, Canada, Australia and New Zealand"
Western offshoots (MPD),,1900,7740.8506,"United States, Canada, Australia and New Zealand"
Western offshoots (MPD),,1950,14773.222,"United States, Canada, Australia and New Zealand"
Western offshoots (MPD),,2000,44329.27,"United States, Canada, Australia and New Zealand"
Western offshoots (MPD),,2018,53756.496,"United States, Canada, Australia and New Zealand"
World,OWID_WRL,1820,1101.5654,
World,OWID_WRL,1850,1225.081,
World,OWID_WRL,1900,2212.0432,
World,OWID_WRL,1950,3350.5664,
World,OWID_WRL,2000,9914.567,
World,OWID_WRL,2018,15212.415,
