Entity,Code,Year,Share of total population aged 15-64 years with some formal education
Bangladesh,BGD,1870,0.19999695
Bangladesh,BGD,1880,0.40000153
Bangladesh,BGD,1900,1.0999985
Bangladesh,BGD,1920,10.599998
Bangladesh,BGD,1940,18.300003
Bangladesh,BGD,1960,22.900002
Bangladesh,BGD,1980,33.9
Bangladesh,BGD,2000,57.4
Bangladesh,BGD,2020,78.1
Canada,CAN,1870,70.3
Canada,CAN,1880,75.1
Canada,CAN,1900,84.2
Canada,CAN,1920,90.9
Canada,CAN,1940,97.1
Canada,CAN,1960,99.0
Canada,CAN,1980,99.0
Canada,CAN,2000,99.5
Canada,CAN,2020,99.6
Cuba,CUB,1870,3.199997
Cuba,CUB,1880,5.0
Cuba,CUB,1900,20.0
Cuba,CUB,1920,52.1
Cuba,CUB,1940,72.3
Cuba,CUB,1960,79.2
Cuba,CUB,1980,96.4
Cuba,CUB,2000,93.3
Cuba,CUB,2020,98.0
El Salvador,SLV,1870,5.5999985
El Salvador,SLV,1880,8.400002
El Salvador,SLV,1900,19.400002
El Salvador,SLV,1920,28.5
El Salvador,SLV,1940,30.800003
El Salvador,SLV,1960,44.1
El Salvador,SLV,1980,66.6
El Salvador,SLV,2000,82.3
El Salvador,SLV,2020,98.2
Kuwait,KWT,1870,0.0
Kuwait,KWT,1880,0.0
Kuwait,KWT,1900,0.0
Kuwait,KWT,1920,6.199997
Kuwait,KWT,1940,24.300003
Kuwait,KWT,1960,46.4
Kuwait,KWT,1980,50.4
Kuwait,KWT,2000,77.6
Kuwait,KWT,2020,97.3
Panama,PAN,1870,2.199997
Panama,PAN,1880,3.4000015
Panama,PAN,1900,19.0
Panama,PAN,1920,40.3
Panama,PAN,1940,62.3
Panama,PAN,1960,78.4
Panama,PAN,1980,87.9
Panama,PAN,2000,94.3
Panama,PAN,2020,95.9
