Entity,Code,Year,Depressive disorders (share of population) - Sex: Both - Age: Age-standardized,Cantril ladder score,Population (historical estimates),Continent
Afghanistan,AFG,2019,4.945168,2.5669,37769496.0,
Africa,,2019,,,1327701380.0,
Angola,AGO,2019,5.7441936,,32353592.0,
Asia,,2019,,,4627738749.0,
Bangladesh,BGD,2019,4.6198096,4.8328,165516224.0,
Brazil,BRA,2019,3.8015563,6.3756,211782880.0,
Chad,TCD,2019,5.1334114,4.4227,16126868.0,
China,CHN,2019,2.7240157,5.1239,1421864064.0,
Colombia,COL,2019,2.2196279,6.1634,50187404.0,
Czechia,CZE,2019,2.878852,6.9109,10536876.0,
Democratic Republic of Congo,COD,2019,5.44306,4.311,89906896.0,
Egypt,EGY,2019,3.9397578,4.1514,105618672.0,
Ethiopia,ETH,2019,4.64972,4.1862,114120592.0,
Europe,,2019,,,747418251.0,
France,FRA,2019,3.835741,6.6638,64399760.0,
Germany,DEU,2019,3.3767943,7.0758,83148144.0,
Greece,GRC,2019,5.0422506,5.515,10574026.0,
India,IND,2019,3.6598387,3.5733,1383112064.0,
Indonesia,IDN,2019,2.4184713,5.2856,269582880.0,
Iran,IRN,2019,4.860692,4.6724,86564208.0,
Japan,JPN,2019,2.1032803,5.8708,125791680.0,
Kazakhstan,KAZ,2019,3.4412057,6.0579,18754260.0,
Kuwait,KWT,2019,4.0603004,6.1021,4441105.0,
Laos,LAO,2019,2.7468913,4.8886,7212058.0,
Libya,LBY,2019,4.406427,5.4888,6569085.0,
Mali,MLI,2019,3.5413845,4.7293,20567430.0,
Morocco,MAR,2019,5.07854,5.0948,36304408.0,
Myanmar,MMR,2019,2.1933033,4.308,53040212.0,
Nigeria,NGA,2019,3.8173978,4.7241,203304496.0,
North America,,2019,,,590497015.0,
Norway,NOR,2019,3.2382026,7.488,5348285.0,
Oceania,,2019,,,43278474.0,
Pakistan,PAK,2019,3.9425256,5.6933,223293280.0,
Palestine,PSE,2019,6.1989517,4.5528,4909775.0,
Paraguay,PRY,2019,3.6945765,5.6921,6530029.0,
Philippines,PHL,2019,2.779254,6.006,110380800.0,
Russia,RUS,2019,3.0799155,5.546,145742288.0,
Rwanda,RWA,2019,5.0970206,3.3123,12835029.0,
South America,,2019,,,428318218.0,
Spain,ESP,2019,4.704455,6.4009,47131372.0,
Sri Lanka,LKA,2019,2.8662298,4.327,21649664.0,
Tanzania,TZA,2019,4.651242,3.4762,59872584.0,
Turkey,TUR,2019,3.9422681,5.1318,83481688.0,
Uganda,UGA,2019,6.5845194,4.432,42949076.0,
United Kingdom,GBR,2019,4.0975676,7.1645,66778660.0,
United States,USA,2019,4.375998,6.9396,334319680.0,
Uruguay,URY,2019,2.840908,6.4401,3428412.0,
Zimbabwe,ZWE,2019,3.3954756,3.2992,15354606.0,
