Entity,Code,Year,Share of population covered by health insurance (ILO (2014)),"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Africa,,2011,,,1082676070.0,
Angola,AGO,2011,,7664.44,24259120.0,
Argentina,ARG,2011,,24647.629,41520736.0,
Asia,,2011,,,4268479060.0,
Bhutan,BTN,2011,,8499.3545,713338.0,
Brazil,BRA,2011,,15271.47,198185296.0,
Burundi,BDI,2011,,807.665,9455737.0,
Cambodia,KHM,2011,,2856.5308,14573894.0,
Central African Republic,CAF,2011,,1160.4148,4732037.0,
Chile,CHL,2011,93.1,22323.723,17173568.0,
China,CHN,2011,,9680.098,1357095424.0,
Colombia,COL,2011,,12578.016,45308896.0,
Cyprus,CYP,2011,,37593.93,1145090.0,
Democratic Republic of Congo,COD,2011,,870.0738,68654272.0,
Dominica,DMA,2011,,12309.862,68758.0,
Dominican Republic,DOM,2011,,12905.289,9903743.0,
Ecuador,ECU,2011,,10988.722,15237734.0,
Egypt,EGY,2011,,9762.974,89200056.0,
Estonia,EST,2011,92.9,27990.137,1327435.0,
Eswatini,SWZ,2011,,7347.2046,1105379.0,
Europe,,2011,,,738734474.0,
Gabon,GAB,2011,,14145.65,1772508.0,
Gambia,GMB,2011,99.9,1934.7279,1998215.0,
Ghana,GHA,2011,,4128.56,26205940.0,
Grenada,GRD,2011,,12493.164,114933.0,
India,IND,2011,,4374.2324,1257621248.0,
Indonesia,IDN,2011,,8610.529,247099696.0,
Japan,JPN,2011,,38149.617,128007256.0,
Jordan,JOR,2011,,11885.238,7109980.0,
Kenya,KEN,2011,,3824.1975,42635148.0,
Laos,LAO,2011,,5103.549,6416331.0,
Lebanon,LBN,2011,,19216.969,5045061.0,
Malta,MLT,2011,,32930.297,423577.0,
Mexico,MEX,2011,,18432.37,114150480.0,
Morocco,MAR,2011,,6064.432,32903708.0,
Namibia,NAM,2011,,9431.044,2132343.0,
Nepal,NPL,2011,,2763.8289,27266398.0,
Netherlands,NLD,2011,,52594.23,16701470.0,
Nigeria,NGA,2011,,4975.638,165463744.0,
North America,,2011,,,548684151.0,
Oceania,,2011,,,37730469.0,
Pakistan,PAK,2011,,4082.4495,198602736.0,
Panama,PAN,2011,,23461.873,3688679.0,
Peru,PER,2011,,10539.982,29477722.0,
Philippines,PHL,2011,,5995.431,96337912.0,
Russia,RUS,2011,88.0,24972.078,143364544.0,
Rwanda,RWA,2011,,1544.4098,10576932.0,
Saint Kitts and Nevis,KNA,2011,,24876.697,47605.0,
Senegal,SEN,2011,,2790.8975,12875878.0,
Serbia,SRB,2011,,14926.494,7620925.0,
Singapore,SGP,2011,,81258.086,5281351.0,
South America,,2011,,,397135158.0,
Turkmenistan,TKM,2011,,9379.144,5360813.0,
Uganda,UGA,2011,,1996.0656,33295738.0,
United States,USA,2011,,54960.906,313876608.0,
Uzbekistan,UZB,2011,,5185.6846,29057456.0,
Vanuatu,VUT,2011,,2994.3853,251309.0,
Zambia,ZMB,2011,,3146.8445,14265824.0,
