Entity,Code,Year,wom_parl_vdem_owid,region
Africa,,2022,23.658491,World
Asia,,2022,19.895435,World
Chile,CHL,2022,35.5,South America
Ecuador,ECU,2022,38.7,South America
Equatorial Guinea,GNQ,2022,22.0,Africa
Europe,,2022,32.931705,World
Guatemala,GTM,2022,19.4,North America
Hungary,HUN,2022,14.1,Europe
Israel,ISR,2022,30.0,Asia
Kuwait,KWT,2022,1.6,Asia
Lebanon,LBN,2022,5.0,Asia
Liberia,LBR,2022,11.0,Africa
Lithuania,LTU,2022,28.4,Europe
Luxembourg,LUX,2022,33.3,Europe
Mauritania,MRT,2022,20.3,Africa
Montenegro,MNE,2022,27.2,Europe
Myanmar,MMR,2022,15.29,Asia
Namibia,NAM,2022,44.2,Africa
Netherlands,NLD,2022,40.4,Europe
Niger,NER,2022,26.0,Africa
North America,,2022,31.36,World
Oceania,,2022,19.5,World
Paraguay,PRY,2022,17.5,South America
Rwanda,RWA,2022,61.3,Africa
Somaliland,OWID_SML,2022,0.0,Africa
South America,,2022,31.5625,World
World,OWID_WRL,2022,25.927399,World
