Entity,Code,Year,DALYs (Disability-Adjusted Life Years) - Injuries - Sex: Both - Age: Age-standardized (Rate)
Cote d'Ivoire,CIV,1990,4189.39
Cote d'Ivoire,CIV,1995,4444.28
Cote d'Ivoire,CIV,2000,4522.56
Cote d'Ivoire,CIV,2005,4187.17
Cote d'Ivoire,CIV,2010,3863.16
Cote d'Ivoire,CIV,2015,3795.75
Cote d'Ivoire,CIV,2019,3391.38
Latin America & Caribbean (WB),,1990,5640.5
Latin America & Caribbean (WB),,1995,5206.92
Latin America & Caribbean (WB),,2000,4834.4
Latin America & Caribbean (WB),,2005,4434.27
Latin America & Caribbean (WB),,2010,6632.21
Latin America & Caribbean (WB),,2015,4168.41
Latin America & Caribbean (WB),,2019,3942.72
Nauru,NRU,1990,5995.32
Nauru,NRU,1995,6518.03
Nauru,NRU,2000,7321.75
Nauru,NRU,2005,7349.6
Nauru,NRU,2010,6916.32
Nauru,NRU,2015,5910.38
Nauru,NRU,2019,5479.45
North Macedonia,MKD,1990,3398.25
North Macedonia,MKD,1995,3319.83
North Macedonia,MKD,2000,3200.96
North Macedonia,MKD,2005,2710.95
North Macedonia,MKD,2010,2451.73
North Macedonia,MKD,2015,2399.69
North Macedonia,MKD,2019,2406.93
Region of the Americas (WHO),,1990,4880.84
Region of the Americas (WHO),,1995,4557.46
Region of the Americas (WHO),,2000,4184.62
Region of the Americas (WHO),,2005,3946.44
Region of the Americas (WHO),,2010,5334.24
Region of the Americas (WHO),,2015,3703.06
Region of the Americas (WHO),,2019,3552.12
Slovakia,SVK,1990,4848.66
Slovakia,SVK,1995,4226.29
Slovakia,SVK,2000,3903.51
Slovakia,SVK,2005,3636.74
Slovakia,SVK,2010,3327.94
Slovakia,SVK,2015,3108.23
Slovakia,SVK,2019,3016.75
