Entity,Code,Year,Gas production - TWh
Africa (EI),,1970,30.07551
Africa (EI),,1980,248.30338
Africa (EI),,1990,721.5906
Africa (EI),,2000,1351.0123
Africa (EI),,2010,2014.6624
Africa (EI),,2022,2489.5928
Asia Pacific (EI),,1970,151.01651
Asia Pacific (EI),,1980,717.85016
Asia Pacific (EI),,1990,1492.5189
Asia Pacific (EI),,2000,2774.5474
Asia Pacific (EI),,2010,4881.119
Asia Pacific (EI),,2022,6812.729
CIS (EI),,1970,1875.0139
CIS (EI),,1980,4122.3877
CIS (EI),,1990,7309.516
CIS (EI),,2000,6441.6636
CIS (EI),,2010,7395.152
CIS (EI),,2022,8059.2466
Europe (EI),,1970,1049.3087
Europe (EI),,1980,2285.5457
Europe (EI),,1990,2431.9617
Europe (EI),,2000,3099.2502
Europe (EI),,2010,3101.2437
Europe (EI),,2022,2203.7644
Middle East (EI),,1970,103.39427
Middle East (EI),,1980,342.37033
Middle East (EI),,1990,1007.21265
Middle East (EI),,2000,2040.6628
Middle East (EI),,2010,4746.425
Middle East (EI),,2022,7213.166
North America,,1970,6382.9004
North America,,1980,6242.9756
North America,,1990,6187.361
North America,,2000,7427.5254
North America,,2010,8172.674
North America,,2022,12305.803
North America (EI),,1970,6365.089
North America (EI),,1980,6214.3394
North America (EI),,1990,6132.118
North America (EI),,2000,7282.8364
North America (EI),,2010,7759.263
North America (EI),,2022,12039.185
South and Central America (EI),,1970,186.99683
South and Central America (EI),,1980,352.5416
South and Central America (EI),,1990,602.24835
South and Central America (EI),,2000,1017.1946
South and Central America (EI),,2010,1604.2308
South and Central America (EI),,2022,1620.477
