Entity,Code,Year,The totalpopulation not using safely managed sanitation services
Brazil,BRA,2000,113012856.0
Brazil,BRA,2005,116135224.0
Brazil,BRA,2010,118087950.0
Brazil,BRA,2015,115053830.0
Brazil,BRA,2020,109356230.0
Brazil,BRA,2022,108546560.0
China,CHN,2000,1114112900.0
China,CHN,2005,1048950460.0
China,CHN,2010,904393400.0
China,CHN,2015,716435200.0
China,CHN,2020,512717700.0
China,CHN,2022,475234800.0
India,IND,2000,995034240.0
India,IND,2005,985356160.0
India,IND,2010,922774100.0
India,IND,2015,833998900.0
India,IND,2020,727523300.0
India,IND,2022,678260000.0
Niger,NER,2000,11294593.0
Niger,NER,2005,13271209.0
Niger,NER,2010,15747658.0
Niger,NER,2015,18816070.0
Niger,NER,2020,22484046.0
Niger,NER,2022,24080924.0
Nigeria,NGA,2000,97398270.0
Nigeria,NGA,2005,109077960.0
Nigeria,NGA,2010,121119624.0
Nigeria,NGA,2015,133402020.0
Nigeria,NGA,2020,144539920.0
Nigeria,NGA,2022,148670140.0
