Entity,Code,Year,Richest decile - Share (Net national wealth) (Estimated)
Chile,CHL,2000,77.98
Chile,CHL,2021,80.39
China,CHN,2000,47.75
China,CHN,2021,68.8
Netherlands,NLD,1894,74.72
Netherlands,NLD,1920,71.8
Netherlands,NLD,1960,59.170002
Netherlands,NLD,1980,50.059998
Netherlands,NLD,2000,50.089996
Netherlands,NLD,2021,47.89
Russia,RUS,2000,64.65
Russia,RUS,2021,74.07
South Africa,ZAF,2000,83.73
South Africa,ZAF,2021,85.64
United Kingdom,GBR,1920,94.08
United Kingdom,GBR,1940,90.48
United Kingdom,GBR,1960,78.34
United Kingdom,GBR,1980,58.26
United Kingdom,GBR,2000,55.769997
United Kingdom,GBR,2021,57.130005
United States,USA,1920,78.93
United States,USA,1940,78.05
United States,USA,1960,70.5
United States,USA,1980,64.990005
United States,USA,2000,68.61
