Entity,Code,Year,Child mortality rate - Sex: all - Age: 0-4 - Variant: estimates
Afghanistan,AFG,1950,41.94021
Afghanistan,AFG,1960,35.76163
Afghanistan,AFG,1970,30.17334
Afghanistan,AFG,1980,25.84058
Afghanistan,AFG,1990,19.41034
Afghanistan,AFG,2000,12.984461
Afghanistan,AFG,2010,8.92781
Afghanistan,AFG,2021,5.79324
Albania,ALB,1950,30.404999
Albania,ALB,1960,21.29888
Albania,ALB,1970,10.86885
Albania,ALB,1980,6.25874
Albania,ALB,1990,4.4188
Albania,ALB,2000,2.72874
Albania,ALB,2010,1.32943
Albania,ALB,2021,0.99849004
American Samoa,ASM,1950,7.3848395
American Samoa,ASM,1960,5.36982
American Samoa,ASM,1970,4.0350103
American Samoa,ASM,1980,2.8766198
American Samoa,ASM,1990,1.8891001
American Samoa,ASM,2000,1.63499
American Samoa,ASM,2010,1.1069701
American Samoa,ASM,2021,1.06756
Indonesia,IDN,1950,30.4806
Indonesia,IDN,1960,22.72615
Indonesia,IDN,1970,16.728489
Indonesia,IDN,1980,12.05789
Indonesia,IDN,1990,8.351931
Indonesia,IDN,2000,5.207
Indonesia,IDN,2010,3.3843102
Indonesia,IDN,2021,2.23194
Iraq,IRQ,1950,35.65181
Iraq,IRQ,1960,19.121809
Iraq,IRQ,1970,11.42692
Iraq,IRQ,1980,7.29745
Iraq,IRQ,1990,8.09104
Iraq,IRQ,2000,4.45393
Iraq,IRQ,2010,3.53025
Iraq,IRQ,2021,2.46205
Panama,PAN,1950,13.377699
Panama,PAN,1960,10.37893
Panama,PAN,1970,7.60686
Panama,PAN,1980,4.86528
Panama,PAN,1990,3.5082803
Panama,PAN,2000,2.83792
Panama,PAN,2010,2.16225
Panama,PAN,2021,1.7161
