Entity,Code,Year,CO2 emissions (kg per 2017 PPP $ of GDP),"GDP per capita, PPP (constant 2017 international $)",Continent
Afghanistan,AFG,2018,0.098412156,2060.699,
Albania,ALB,2018,0.14565729,13319.495,
Algeria,DZA,2018,0.30880892,11725.878,
Angola,AGO,2018,0.12798448,6878.5933,
Antigua and Barbuda,ATG,2018,0.2619115,22085.262,
Argentina,ARG,2018,0.1752843,22747.242,
Australia,AUS,2018,0.31563938,49052.816,
Austria,AUT,2018,0.1293313,55217.285,
Azerbaijan,AZE,2018,0.22670615,14209.593,
Bahamas,BHS,2018,0.16038637,34735.125,
Bahrain,BHR,2018,0.42236012,48937.66,
Belarus,BLR,2018,0.33115926,18974.7,
Belize,BLZ,2018,0.24445093,8798.538,
Benin,BEN,2018,0.21789627,3040.1675,
Bosnia and Herzegovina,BIH,2018,0.47134602,14066.845,
Brunei,BRN,2018,0.27562732,59650.23,
Burundi,BDI,2018,0.069327585,740.44824,
Cambodia,KHM,2018,0.16511711,4217.6216,
Cameroon,CMR,2018,0.09209501,3732.5012,
Cape Verde,CPV,2018,0.16610865,6534.4604,
Chad,TCD,2018,0.043856293,1563.544,
Colombia,COL,2018,0.11181745,14426.435,
Costa Rica,CRI,2018,0.07992138,20503.277,
Cyprus,CYP,2018,0.20786192,40099.836,
East Asia and Pacific (WB),,2018,0.3702083,17055.41,
El Salvador,SLV,2018,0.12310395,8812.201,
Finland,FIN,2018,0.16738443,48048.523,
Georgia,GEO,2018,0.17810068,14253.409,
Greece,GRC,2018,0.20874844,29141.174,
India,IND,2018,0.27609575,6436.1533,
Iran,IRN,2018,0.5710431,14628.946,
Iraq,IRQ,2018,0.46373475,9995.05,
Ireland,IRL,2018,0.09106242,83340.39,
Italy,ITA,2018,0.1278691,42045.92,
Kiribati,KIR,2018,0.30205843,2033.7283,
Kyrgyzstan,KGZ,2018,0.33892152,5133.152,
Laos,LAO,2018,0.3504502,7546.3345,
Lesotho,LSO,2018,0.46620843,2541.4526,
Liberia,LBR,2018,0.177411,1521.7335,
Libya,LBY,2018,0.587645,25734.168,
Luxembourg,LUX,2018,0.13324831,114164.47,
Malta,MLT,2018,0.07384108,44615.605,
Marshall Islands,MHL,2018,0.8512933,4955.1294,
Micronesia (country),FSM,2018,0.46173167,3513.8652,
Niger,NER,2018,0.08500236,1193.2656,
Nigeria,NGA,2018,0.12940842,5089.778,
Oman,OMN,2018,0.466092,34212.105,
Pakistan,PAK,2018,0.20715809,5113.434,
Palau,PLW,2018,0.91732496,17587.088,
Panama,PAN,2018,0.07821292,31125.625,
Qatar,QAT,2018,0.35633305,91461.62,
Russia,RUS,2018,0.41072047,26656.41,
Rwanda,RWA,2018,0.04203033,2050.441,
Somalia,SOM,2018,0.040702533,1098.4928,
Sri Lanka,LKA,2018,0.07761502,13753.055,
Togo,TGO,2018,0.13897377,2020.9656,
Turkmenistan,TKM,2018,0.82582444,14321.14,
Ukraine,UKR,2018,0.35546944,12336.927,
World,OWID_WRL,2018,0.2695788,16558.998,
Zambia,ZMB,2018,0.1266675,3425.949,
