Entity,Code,Year,Annual greenhouse gas emissions in CO₂ equivalents
Africa,,1850,257966580.0
Africa,,1860,279451230.0
Africa,,1880,227785100.0
Africa,,1900,297172600.0
Africa,,1920,585007740.0
Africa,,1940,1199101600.0
Africa,,1960,2247789000.0
Africa,,1980,2276265500.0
Africa,,2000,3636399900.0
Africa,,2021,4728741000.0
Asia (excl. China and India),,1850,497283330.0
Asia (excl. China and India),,1860,611135300.0
Asia (excl. China and India),,1880,696679500.0
Asia (excl. China and India),,1900,1018988100.0
Asia (excl. China and India),,1920,1275924900.0
Asia (excl. China and India),,1940,1691210200.0
Asia (excl. China and India),,1960,3168022500.0
Asia (excl. China and India),,1980,5320026600.0
Asia (excl. China and India),,2000,8235773000.0
Asia (excl. China and India),,2021,12168530000.0
China,CHN,1850,443820220.0
China,CHN,1860,382834460.0
China,CHN,1880,304006000.0
China,CHN,1900,389655500.0
China,CHN,1920,612775100.0
China,CHN,1940,734766660.0
China,CHN,1960,1704555300.0
China,CHN,1980,2783319300.0
China,CHN,2000,5320385000.0
China,CHN,2021,13710636000.0
Europe (excl. EU-27),,1850,697045250.0
Europe (excl. EU-27),,1860,781872300.0
Europe (excl. EU-27),,1880,1080469000.0
Europe (excl. EU-27),,1900,1518224000.0
Europe (excl. EU-27),,1920,1415385900.0
Europe (excl. EU-27),,1940,2154114000.0
Europe (excl. EU-27),,1960,3385121300.0
Europe (excl. EU-27),,1980,4984134700.0
Europe (excl. EU-27),,2000,3182125600.0
Europe (excl. EU-27),,2021,3434596900.0
European Union (27),,1850,521954430.0
European Union (27),,1860,553078800.0
European Union (27),,1880,795087360.0
European Union (27),,1900,1279749100.0
European Union (27),,1920,1391833600.0
European Union (27),,1940,1841616900.0
European Union (27),,1960,2918588400.0
European Union (27),,1980,5128063000.0
European Union (27),,2000,4332670000.0
European Union (27),,2021,3381900300.0
India,IND,1850,344057600.0
India,IND,1860,291241820.0
India,IND,1880,318873500.0
India,IND,1900,375448320.0
India,IND,1920,469342900.0
India,IND,1940,683940350.0
India,IND,1960,949848640.0
India,IND,1980,1130296300.0
India,IND,2000,2009134000.0
India,IND,2021,3900927000.0
North America,,1850,969241660.0
North America,,1860,1244703500.0
North America,,1880,1898836100.0
North America,,1900,2620108300.0
North America,,1920,3603435300.0
North America,,1940,3767835000.0
North America,,1960,4760256500.0
North America,,1980,7391352000.0
North America,,2000,9014075000.0
North America,,2021,7863161000.0
North America (excl. USA),,1850,137793220.0
North America (excl. USA),,1860,160860540.0
North America (excl. USA),,1880,209470380.0
North America (excl. USA),,1900,314018200.0
North America (excl. USA),,1920,586662850.0
North America (excl. USA),,1940,699018050.0
North America (excl. USA),,1960,1031284300.0
North America (excl. USA),,1980,1484032500.0
North America (excl. USA),,2000,1965649300.0
North America (excl. USA),,2021,1937446400.0
Oceania,,1850,81979620.0
Oceania,,1860,86208760.0
Oceania,,1880,142314380.0
Oceania,,1900,186953180.0
Oceania,,1920,224399360.0
Oceania,,1940,221013470.0
Oceania,,1960,544688640.0
Oceania,,1980,691374600.0
Oceania,,2000,873304060.0
Oceania,,2021,738335300.0
South America,,1850,189991280.0
South America,,1860,229083140.0
South America,,1880,280847550.0
South America,,1900,493883700.0
South America,,1920,969575360.0
South America,,1940,1153663500.0
South America,,1960,2361534200.0
South America,,1980,2796199400.0
South America,,2000,3955986700.0
South America,,2021,3644614700.0
United States,USA,1850,831448450.0
United States,USA,1860,1083842800.0
United States,USA,1880,1689365800.0
United States,USA,1900,2306090000.0
United States,USA,1920,3016772400.0
United States,USA,1940,3068817000.0
United States,USA,1960,3728972300.0
United States,USA,1980,5907320000.0
United States,USA,2000,7048426000.0
United States,USA,2021,5925714400.0
