Entity,Code,Year,Number of ongoing conflicts - Conflict type: one-sided violence,Number of ongoing conflicts - Conflict type: extrasystemic,Number of ongoing conflicts - Conflict type: non-state conflict,Number of ongoing conflicts - Conflict type: intrastate,Number of ongoing conflicts - Conflict type: interstate
World,OWID_WRL,1989,26,0,19,39,2
World,OWID_WRL,1991,36,0,22,51,2
World,OWID_WRL,1993,47,0,34,44,0
World,OWID_WRL,1995,36,0,26,40,1
World,OWID_WRL,1997,29,0,29,38,1
World,OWID_WRL,1999,38,0,35,38,2
World,OWID_WRL,2001,34,0,39,37,2
World,OWID_WRL,2003,46,0,41,31,2
World,OWID_WRL,2005,36,0,30,33,0
World,OWID_WRL,2007,28,0,25,35,0
World,OWID_WRL,2009,23,0,32,37,0
World,OWID_WRL,2011,24,0,43,36,1
World,OWID_WRL,2013,31,0,57,38,1
World,OWID_WRL,2015,31,0,76,53,1
World,OWID_WRL,2017,36,0,87,51,1
World,OWID_WRL,2019,33,0,74,54,2
World,OWID_WRL,2022,45,0,82,52,3
