Entity,Code,Year,Observation value - Unit_of_measure: Deaths per 100 live births - Indicator: Under-five mortality rate - Sex: Both sexes - Wealth_quintile: All wealth quintiles,Population (historical estimates),Continent,Cantril ladder score,Year.1
Afghanistan,AFG,2021,5.565748,40099460.0,,3.36,2015.0
Africa,,2021,,1393676724.0,,,
Algeria,DZA,2021,2.2335286,44177964.0,,6.355,2015.0
Angola,AGO,2021,6.9421334,34503776.0,,3.866,2015.0
Asia,,2021,,4693332132.0,,,
Belgium,BEL,2021,0.41006517,11611416.0,,6.929,2015.0
Benin,BEN,2021,8.352425,12996901.0,,3.484,2015.0
Bolivia,BOL,2021,2.469194,12079474.0,,5.822,2015.0
Botswana,BWA,2021,3.4869418,2588424.0,,3.974,2015.0
Burkina Faso,BFA,2021,8.260758,22100690.0,,3.739,2015.0
Burundi,BDI,2021,5.260476,12551215.0,,2.905,2015.0
Cambodia,KHM,2021,2.476356,16589031.0,,3.907,2015.0
Canada,CAN,2021,0.5041324,38155012.0,,7.404,2015.0
Central African Republic,CAF,2021,9.991608,5457165.0,,2.693,2016.0
Chad,TCD,2021,10.706548,17179744.0,,3.763,2015.0
China,CHN,2021,0.69345915,1425893504.0,,5.245,2015.0
Democratic Republic of Congo,COD,2021,7.8960543,95894120.0,,4.272,2015.0
Dominican Republic,DOM,2021,3.3002884,11117873.0,,5.155,2015.0
Egypt,EGY,2021,1.8957832,109262184.0,,4.362,2015.0
Ethiopia,ETH,2021,4.6811466,120283024.0,,4.508,2015.0
Europe,,2021,0.4408454,746417727.0,,,
Ghana,GHA,2021,4.3974524,32833036.0,,4.276,2015.0
Greece,GRC,2021,0.37140977,10445368.0,,5.033,2015.0
Guinea,GIN,2021,9.872694,13531909.0,,3.607,2015.0
Honduras,HND,2021,1.6555912,10278346.0,,4.871,2015.0
India,IND,2021,3.0619214,1407563904.0,,4.404,2015.0
Indonesia,IDN,2021,2.2173412,273753184.0,,5.314,2015.0
Iran,IRN,2021,1.2631342,87923432.0,,4.813,2015.0
Iraq,IRQ,2021,2.4521646,43533592.0,,4.575,2015.0
Jordan,JOR,2021,1.4598967,11148288.0,,5.303,2015.0
Kenya,KEN,2021,3.7152622,53005616.0,,4.356,2015.0
Kuwait,KWT,2021,0.8733754,4250111.0,,6.239,2015.0
Laos,LAO,2021,4.2509923,7425055.0,,4.876,2015.0
Liberia,LBR,2021,7.604017,5193422.0,,3.622,2015.0
Mali,MLI,2021,9.706693,21904990.0,,4.073,2015.0
Mexico,MEX,2021,1.3240743,126705136.0,,6.778,2015.0
Mozambique,MOZ,2021,6.9558425,32077074.0,,4.55,2016.0
Niger,NER,2021,11.515188,25252722.0,,3.856,2015.0
Nigeria,NGA,2021,11.081927,213401328.0,,4.875,2015.0
North America,,2021,0.61332315,597123384.0,,,
Oceania,,2021,2.0269809,44492065.0,,,
Pakistan,PAK,2021,6.333255,231402112.0,,5.132,2015.0
Peru,PER,2021,1.4122609,33715464.0,,5.743,2015.0
Russia,RUS,2021,0.5054897,145102752.0,,5.856,2015.0
Rwanda,RWA,2021,3.9438884,13461891.0,,3.515,2015.0
Sierra Leone,SLE,2021,10.468697,8420642.0,,4.635,2015.0
Somalia,SOM,2021,11.178455,17065588.0,,5.44,2015.0
South America,,2021,,434254167.0,,,
Spain,ESP,2021,0.30454287,47486932.0,,6.361,2015.0
Sudan,SDN,2021,5.489554,45657204.0,,4.139,2015.0
Syria,SYR,2021,2.2272444,21324366.0,,3.069,2015.0
Tanzania,TZA,2021,4.7116404,63588332.0,,3.666,2015.0
Thailand,THA,2021,0.8291029,71601104.0,,6.474,2015.0
Turkmenistan,TKM,2021,4.1427803,6341850.0,,5.658,2015.0
Ukraine,UKR,2021,0.82232255,43531424.0,,4.324,2015.0
United States,USA,2021,0.624298,336997632.0,,7.104,2015.0
Uzbekistan,UZB,2021,1.4066064,34081452.0,,5.987,2015.0
Venezuela,VEN,2021,2.4229727,28199862.0,,6.084,2015.0
Vietnam,VNM,2021,2.060163,97468024.0,,5.061,2015.0
Yemen,YEM,2021,6.190894,32981644.0,,3.724,2015.0
Zambia,ZMB,2021,5.769183,19473132.0,,4.795,2015.0
