Entity,Code,Year,Lung,"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Africa,,2009,,,1028200528.0,
Argentina,ARG,2009,11.9,21413.283,40684344.0,
Asia,,2009,,,4171339685.0,
Australia,AUS,2009,15.0,44684.402,21660898.0,
Brazil,BRA,2009,18.0,13916.963,194517552.0,
Chile,CHL,2009,6.3,20255.1,16833450.0,
China,CHN,2009,17.5,8069.3545,1339125632.0,
Colombia,COL,2009,9.0,11507.717,44313916.0,
Cyprus,CYP,2009,15.4,38542.918,1110979.0,
Denmark,DNK,2009,11.3,50114.05,5526455.0,
Ecuador,ECU,2009,28.7,10170.651,14742768.0,
Estonia,EST,2009,11.9,25337.176,1334557.0,
Europe,,2009,,,736013515.0,
Finland,FIN,2009,12.3,44662.1,5338813.0,
France,FRA,2009,13.6,41544.023,62093300.0,
Germany,DEU,2009,16.2,45044.49,81260624.0,
India,IND,2009,9.6,3937.2375,1223640192.0,
Indonesia,IDN,2009,12.2,7828.809,240981296.0,
Ireland,IRL,2009,12.9,52902.887,4499797.0,
Israel,ISR,2009,23.8,32832.73,7199704.0,
Japan,JPN,2009,30.1,36577.863,128117040.0,
Jordan,JOR,2009,4.4,11856.289,6780508.0,
Lithuania,LTU,2009,7.7,23065.062,3180482.0,
Mauritius,MUS,2009,37.2,16625.14,1279868.0,
Mongolia,MNG,2009,6.6,7163.802,2666718.0,
Netherlands,NLD,2009,14.8,51607.605,16536200.0,
North America,,2009,,,537567761.0,
Norway,NOR,2009,15.0,61689.56,4829195.0,
Oceania,,2009,,,36448615.0,
Poland,POL,2009,13.4,22951.785,38555288.0,
Portugal,PRT,2009,12.8,31269.41,10591341.0,
Puerto Rico,PRI,2009,15.8,32930.37,3738934.0,
Russia,RUS,2009,15.7,22939.693,143163648.0,
Slovenia,SVN,2009,11.4,33052.227,2045578.0,
South America,,2009,,,389045327.0,
South Korea,KOR,2009,18.5,32363.969,48588024.0,
Spain,ESP,2009,12.6,37409.645,46367772.0,
Switzerland,CHE,2009,16.5,64726.37,7734402.0,
Thailand,THA,2009,13.5,13270.617,67813656.0,
Turkey,TUR,2009,10.1,18497.01,72225648.0,
United Kingdom,GBR,2009,9.6,41592.363,62243384.0,
United States,USA,2009,18.7,53521.207,308512032.0,
