Entity,Code,Year,HepB3 (% of one-year-olds immunized)
African Region (WHO),,1985,0
African Region (WHO),,1990,0
African Region (WHO),,1995,0
African Region (WHO),,2000,5
African Region (WHO),,2005,41
African Region (WHO),,2010,70
African Region (WHO),,2015,71
African Region (WHO),,2021,71
Eastern Mediterranean Region (WHO),,1985,0
Eastern Mediterranean Region (WHO),,1990,3
Eastern Mediterranean Region (WHO),,1995,27
Eastern Mediterranean Region (WHO),,2000,37
Eastern Mediterranean Region (WHO),,2005,67
Eastern Mediterranean Region (WHO),,2010,72
Eastern Mediterranean Region (WHO),,2015,80
Eastern Mediterranean Region (WHO),,2021,82
European Region (WHO),,1985,0
European Region (WHO),,1990,0
European Region (WHO),,1995,11
European Region (WHO),,2000,42
European Region (WHO),,2005,75
European Region (WHO),,2010,79
European Region (WHO),,2015,82
European Region (WHO),,2021,91
Region of the Americas (WHO),,1985,0
Region of the Americas (WHO),,1990,0
Region of the Americas (WHO),,1995,24
Region of the Americas (WHO),,2000,70
Region of the Americas (WHO),,2005,89
Region of the Americas (WHO),,2010,90
Region of the Americas (WHO),,2015,88
Region of the Americas (WHO),,2021,80
South-East Asia Region (WHO),,1985,0
South-East Asia Region (WHO),,1990,0
South-East Asia Region (WHO),,1995,8
South-East Asia Region (WHO),,2000,10
South-East Asia Region (WHO),,2005,24
South-East Asia Region (WHO),,2010,53
South-East Asia Region (WHO),,2015,88
South-East Asia Region (WHO),,2021,82
Western Pacific Region (WHO),,1985,0
Western Pacific Region (WHO),,1990,1
Western Pacific Region (WHO),,1995,9
Western Pacific Region (WHO),,2000,49
Western Pacific Region (WHO),,2005,76
Western Pacific Region (WHO),,2010,92
Western Pacific Region (WHO),,2015,92
Western Pacific Region (WHO),,2021,90
