Entity,Code,Year,Augmented Human Development Index (AHDI) (excluding the income dimension),814487-annotations
East Asia (AHDI),,1870,0.015995007,
East Asia (AHDI),,1880,0.016032126,
East Asia (AHDI),,1900,0.019613845,
East Asia (AHDI),,1960,0.11305441,
East Asia (AHDI),,1980,0.14014895,
East Asia (AHDI),,2000,0.30873844,
East Asia (AHDI),,2020,0.3615589,
Eastern Europe (AHDI),,1870,0.06036962,
Eastern Europe (AHDI),,1880,0.06606138,
Eastern Europe (AHDI),,1900,0.08257569,
Eastern Europe (AHDI),,1960,0.16701838,
Eastern Europe (AHDI),,1980,0.19352,
Eastern Europe (AHDI),,2000,0.42258632,
Eastern Europe (AHDI),,2020,0.49176022,
Latin America (AHDI),,1870,0.037373286,
Latin America (AHDI),,1880,0.0399064,
Latin America (AHDI),,1900,0.051237248,
Latin America (AHDI),,1960,0.16931607,
Latin America (AHDI),,1980,0.194265,
Latin America (AHDI),,2000,0.37301695,
Latin America (AHDI),,2020,0.3992259,
Middle East (AHDI),,1870,0.016962307,
Middle East (AHDI),,1880,0.016311055,
Middle East (AHDI),,1900,0.018993225,
Middle East (AHDI),,1960,0.088243596,
Middle East (AHDI),,1980,0.14709777,
Middle East (AHDI),,2000,0.24789248,
Middle East (AHDI),,2020,0.27122167,
North Africa (AHDI),,1870,0.018635552,
North Africa (AHDI),,1880,0.018653212,
North Africa (AHDI),,1900,0.02759732,
North Africa (AHDI),,1960,0.07308596,
North Africa (AHDI),,1980,0.12608132,
North Africa (AHDI),,2000,0.21681276,
North Africa (AHDI),,2020,0.27918908,
South Asia (AHDI),,1870,0.01565949,
South Asia (AHDI),,1880,0.016880186,
South Asia (AHDI),,1900,0.023719423,
South Asia (AHDI),,1960,0.121895455,
South Asia (AHDI),,1980,0.1781232,
South Asia (AHDI),,2000,0.25584036,
South Asia (AHDI),,2020,0.27535754,
Sub Saharan Africa (AHDI),,1870,0.014685064,
Sub Saharan Africa (AHDI),,1880,0.015843317,
Sub Saharan Africa (AHDI),,1900,0.019079,
Sub Saharan Africa (AHDI),,1960,0.06987901,
Sub Saharan Africa (AHDI),,1980,0.10162957,
Sub Saharan Africa (AHDI),,2000,0.16551885,
Sub Saharan Africa (AHDI),,2020,0.23230635,
Western Europe (AHDI),,1870,0.11919825,
Western Europe (AHDI),,1880,0.14286868,
Western Europe (AHDI),,1900,0.1771738,
Western Europe (AHDI),,1960,0.38905734,
Western Europe (AHDI),,1980,0.5160509,
Western Europe (AHDI),,2000,0.62484944,
Western Europe (AHDI),,2020,0.71207184,
Western offshoots (AHDI),,1870,0.18426776,"United States, Canada, Australia and New Zealand"
Western offshoots (AHDI),,1880,0.17815441,"United States, Canada, Australia and New Zealand"
Western offshoots (AHDI),,1900,0.23592539,"United States, Canada, Australia and New Zealand"
Western offshoots (AHDI),,1960,0.43926358,"United States, Canada, Australia and New Zealand"
Western offshoots (AHDI),,1980,0.5745089,"United States, Canada, Australia and New Zealand"
Western offshoots (AHDI),,2000,0.6722222,"United States, Canada, Australia and New Zealand"
Western offshoots (AHDI),,2020,0.7072195,"United States, Canada, Australia and New Zealand"
