Entity,Code,Year,"Current number of cases of depressive disorders, in both sexes aged all ages"
African Region (WHO),,1990,16896232.0
African Region (WHO),,1995,19398364.0
African Region (WHO),,2000,22943252.0
African Region (WHO),,2005,26195224.0
African Region (WHO),,2010,29152818.0
African Region (WHO),,2015,32982362.0
African Region (WHO),,2019,37412092.0
Eastern Mediterranean Region (WHO),,1990,12503475.0
Eastern Mediterranean Region (WHO),,1995,14356711.0
Eastern Mediterranean Region (WHO),,2000,16411419.0
Eastern Mediterranean Region (WHO),,2005,19050550.0
Eastern Mediterranean Region (WHO),,2010,22100514.0
Eastern Mediterranean Region (WHO),,2015,25553900.0
Eastern Mediterranean Region (WHO),,2019,28334962.0
European Region (WHO),,1990,34226800.0
European Region (WHO),,1995,34991884.0
European Region (WHO),,2000,36216188.0
European Region (WHO),,2005,36640950.0
European Region (WHO),,2010,37465224.0
European Region (WHO),,2015,38113904.0
European Region (WHO),,2019,38707428.0
Region of the Americas (WHO),,1990,24196946.0
Region of the Americas (WHO),,1995,27885768.0
Region of the Americas (WHO),,2000,31742894.0
Region of the Americas (WHO),,2005,34536548.0
Region of the Americas (WHO),,2010,35842224.0
Region of the Americas (WHO),,2015,37678150.0
Region of the Americas (WHO),,2019,39299784.0
South-East Asia Region (WHO),,1990,39176496.0
South-East Asia Region (WHO),,1995,47974292.0
South-East Asia Region (WHO),,2000,52665012.0
South-East Asia Region (WHO),,2005,60607800.0
South-East Asia Region (WHO),,2010,58724360.0
South-East Asia Region (WHO),,2015,65481572.0
South-East Asia Region (WHO),,2019,70537380.0
Western Pacific Region (WHO),,1990,43278116.0
Western Pacific Region (WHO),,1995,48775828.0
Western Pacific Region (WHO),,2000,50577412.0
Western Pacific Region (WHO),,2005,54839860.0
Western Pacific Region (WHO),,2010,57059124.0
Western Pacific Region (WHO),,2015,61733130.0
Western Pacific Region (WHO),,2019,64375092.0
