Entity,Code,Year,Deaths - Cause: Lower respiratory infections - Sex: Both sexes - Age group: ALLAges
Cambodia,KHM,2000,13186.15
Cambodia,KHM,2005,10259.32
Cambodia,KHM,2010,8861.83
Cambodia,KHM,2015,8404.79
Cambodia,KHM,2019,8794.16
Slovakia,SVK,2000,1745.39
Slovakia,SVK,2005,1948.78
Slovakia,SVK,2010,2115.42
Slovakia,SVK,2015,1898.13
Slovakia,SVK,2019,2023.85
Tajikistan,TJK,2000,5052.48
Tajikistan,TJK,2005,3541.7
Tajikistan,TJK,2010,2999.74
Tajikistan,TJK,2015,3179.64
Tajikistan,TJK,2019,3120.61
