Entity,Code,Year,"Life expectancy at birth, male","Life expectancy at birth, female",Population,Continent
Africa,,2021,,,1393676724.0,
Algeria,DZA,2021,74.8787,77.9588,44177964.0,
Asia,,2021,,,4693332132.0,
Belarus,BLR,2021,67.2978,77.6972,9578172.0,
Brazil,BRA,2021,69.5597,76.0086,214326224.0,
Bulgaria,BGR,2021,68.435,75.4824,6885864.0,
Cameroon,CMR,2021,58.6899,62.0182,27198632.0,
Central African Republic,CAF,2021,51.6455,56.3035,5457165.0,
Chad,TCD,2021,50.8449,54.2828,17179744.0,
China,CHN,2021,75.4634,81.1546,1425893504.0,
Democratic Republic of Congo,COD,2021,56.9531,61.5207,95894120.0,
Estonia,EST,2021,72.8152,81.2311,1328704.0,
Eswatini,SWZ,2021,53.366,61.2485,1192273.0,
Ethiopia,ETH,2021,61.91,68.2852,120283024.0,
Europe,,2021,,,746417727.0,
France,FRA,2021,79.425,85.485,64531448.0,
Germany,DEU,2021,78.0809,83.2215,83408560.0,
Ghana,GHA,2021,61.6304,66.0136,32833036.0,
India,IND,2021,65.7563,68.8864,1407563904.0,
Iran,IRN,2021,71.2463,76.8085,87923432.0,
Japan,JPN,2021,81.8018,87.7313,124612528.0,
Kiribati,KIR,2021,65.504,69.0959,128883.0,
Lesotho,LSO,2021,50.3736,55.9266,2281464.0,
Libya,LBY,2021,69.6305,74.3956,6735280.0,
Mexico,MEX,2021,66.0556,74.8637,126705136.0,
Monaco,MCO,2021,84.3428,87.6773,36713.0,
Namibia,NAM,2021,55.7206,62.9849,2530150.0,
Niger,NER,2021,60.4065,62.7943,25252722.0,
Nigeria,NGA,2021,52.2846,53.0701,213401328.0,
North America,,2021,,,597123384.0,
Oceania,,2021,,,44492065.0,
Pakistan,PAK,2021,63.7866,68.6228,231402112.0,
Palau,PLW,2021,62.4323,70.5753,18050.0,
Philippines,PHL,2021,67.1717,71.4822,113880336.0,
Qatar,QAT,2021,78.3139,80.9374,2688239.0,
Russia,RUS,2021,64.2085,74.7727,145102752.0,
Slovakia,SVK,2021,71.4948,78.4307,5447621.0,
Somalia,SOM,2021,53.2459,57.414,17065588.0,
South Africa,ZAF,2021,59.4575,64.9992,59392256.0,
South America,,2021,,,434254167.0,
Switzerland,CHE,2021,81.9952,85.8959,8691409.0,
Turkey,TUR,2021,73.0397,79.1213,84775408.0,
Tuvalu,TUV,2021,60.8155,69.1378,11229.0,
United States,USA,2021,74.2999,80.238,336997632.0,
Vietnam,VNM,2021,69.117,78.2349,97468024.0,
