Entity,Code,Year,"Prevalence of overweight among adults, BMI >= 25 (age-standardized estimate) (%) - Sex: male - Age group: 18+  years","Prevalence of overweight among adults, BMI >= 25 (age-standardized estimate) (%) - Sex: female - Age group: 18+  years",Continent
Afghanistan,AFG,2016,19.7,26.1,
Africa (WHO),,2016,22.8,38.8,
Albania,ALB,2016,64.4,51.1,
Algeria,DZA,2016,57.8,66.1,
Americas (WHO),,2016,64.1,60.9,
Andorra,AND,2016,70.3,56.9,
Antigua and Barbuda,ATG,2016,40.1,55.6,
Armenia,ARM,2016,54.2,54.4,
Barbados,BRB,2016,44.7,59.9,
Belize,BLZ,2016,48.1,61.2,
Bhutan,BTN,2016,25.2,29.6,
Bolivia,BOL,2016,52.2,59.8,
Bosnia and Herzegovina,BIH,2016,59.7,47.0,
Botswana,BWA,2016,29.7,56.5,
Brunei,BRN,2016,41.0,41.4,
Burkina Faso,BFA,2016,16.1,29.2,
Cape Verde,CPV,2016,27.5,41.4,
China,CHN,2016,34.5,30.1,
Cook Islands,COK,2016,83.7,85.8,
Djibouti,DJI,2016,32.3,44.6,
Eswatini,SWZ,2016,22.2,52.6,
India,IND,2016,17.8,21.6,
Japan,JPN,2016,32.5,21.8,
Jordan,JOR,2016,67.0,72.2,
Kiribati,KIR,2016,76.6,80.9,
Kuwait,KWT,2016,72.4,75.1,
Kyrgyzstan,KGZ,2016,47.4,48.8,
Maldives,MDV,2016,26.9,34.2,
Mali,MLI,2016,20.3,35.1,
Suriname,SUR,2016,53.4,64.2,
Tuvalu,TUV,2016,80.0,83.8,
United States,USA,2016,72.7,63.2,
