Entity,Code,Year,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)","GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Africa,,2019,,,1327701380.0,
Argentina,ARG,2019,0.03,22071.748,44745516.0,
Asia,,2019,,,4627738749.0,
Azerbaijan,AZE,2019,41.8,14442.041,10232761.0,
Belarus,BLR,2019,7.51,19279.209,9673971.0,
Belize,BLZ,2019,4.69,9028.552,389103.0,
Benin,BEN,2019,29.76,3156.439,12290443.0,
Bhutan,BTN,2019,64.01,11797.284,767467.0,
Bolivia,BOL,2019,30.31,8528.749,11777318.0,
Brazil,BRA,2019,4.02,14685.128,211782880.0,
Burkina Faso,BFA,2019,21.41,2110.0623,20951638.0,
Burundi,BDI,2019,93.66,729.65845,11874838.0,
Cambodia,KHM,2019,36.57,4464.2944,16207746.0,
Cameroon,CMR,2019,47.7,3756.5095,25782342.0,
China,CHN,2019,22.01,15977.764,1421864064.0,
Cote d'Ivoire,CIV,2019,31.04,5126.6343,26147544.0,
Democratic Republic of Congo,COD,2019,71.51,1059.8921,89906896.0,
Egypt,EGY,2019,21.21,11180.697,105618672.0,
Ethiopia,ETH,2019,58.71,2181.659,114120592.0,
Europe,,2019,,,747418251.0,
Fiji,FJI,2019,8.21,13241.354,918472.0,
Gabon,GAB,2019,45.76,14478.002,2242788.0,
Gambia,GMB,2019,33.07,2083.309,2508882.0,
Guatemala,GTM,2019,9.78,8671.703,17106338.0,
Haiti,HTI,2019,13.1,3101.5942,11160441.0,
Honduras,HND,2019,8.27,5613.6606,9958832.0,
India,IND,2019,54.69,6608.624,1383112064.0,
Iran,IRN,2019,18.79,14084.354,86564208.0,
Japan,JPN,2019,2.95,41697.41,125791680.0,
Jordan,JOR,2019,0.75,9551.165,10698682.0,
Kazakhstan,KAZ,2019,13.25,26351.805,18754260.0,
Kenya,KEN,2019,59.34,4601.2114,50951452.0,
Kuwait,KWT,2019,0.03,47314.797,4441105.0,
Kyrgyzstan,KGZ,2019,18.81,5258.3667,6323643.0,
Laos,LAO,2019,63.54,7840.0713,7212058.0,
Lesotho,LSO,2019,39.83,2533.1191,2225710.0,
Liberia,LBR,2019,40.33,1455.6377,4985290.0,
Mali,MLI,2019,62.58,2219.0466,20567430.0,
Mexico,MEX,2019,3.61,20064.5,125085312.0,
Morocco,MAR,2019,52.12,8217.599,36304408.0,
Mozambique,MOZ,2019,79.78,1285.1848,30285602.0,
Myanmar,MMR,2019,42.44,4829.5366,53040212.0,
Nepal,NPL,2019,74.08,3922.0813,28832500.0,
Nigeria,NGA,2019,23.57,5076.368,203304496.0,
North America,,2019,,,590497015.0,
Oceania,,2019,,,43278474.0,
Oman,OMN,2019,0.3,33814.113,4602769.0,
Pakistan,PAK,2019,65.18,5157.5464,223293280.0,
Peru,PER,2019,26.34,12735.168,32824864.0,
Philippines,PHL,2019,13.61,8731.861,110380800.0,
Poland,POL,2019,8.08,33159.75,38493600.0,
Romania,ROU,2019,21.01,30006.336,19524212.0,
Russia,RUS,2019,4.01,27254.574,145742288.0,
Senegal,SEN,2019,24.75,3430.484,16000783.0,
Serbia,SRB,2019,13.27,18310.08,7401056.0,
Sierra Leone,SLE,2019,51.47,1655.6852,8046830.0,
Somalia,SOM,2019,83.89,1138.2859,15981312.0,
South America,,2019,,,428318218.0,
Sudan,SDN,2019,51.83,4133.1304,43232092.0,
Tanzania,TZA,2019,66.71,2577.6658,59872584.0,
Thailand,THA,2019,28.27,18003.672,71307768.0,
Togo,TGO,2019,26.87,2080.5242,8243093.0,
Tonga,TON,2019,1.52,6344.3115,104965.0,
Turkey,TUR,2019,25.05,28150.059,83481688.0,
Uganda,UGA,2019,76.77,2250.015,42949076.0,
Ukraine,UKR,2019,11.41,12804.955,44211100.0,
United States,USA,2019,0.76,62478.254,334319680.0,
Uzbekistan,UZB,2019,23.79,7348.147,32976946.0,
Vanuatu,VUT,2019,56.79,3070.3508,304414.0,
Vietnam,VNM,2019,38.3,10252.005,95776712.0,
