Entity,Code,Year,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number)
Botswana,BWA,1990,1204
Botswana,BWA,1995,7263
Botswana,BWA,2000,15885
Botswana,BWA,2005,12414
Botswana,BWA,2010,7330
Botswana,BWA,2015,5866
Botswana,BWA,2019,5612
Eswatini,SWZ,1990,25
Eswatini,SWZ,1995,1384
Eswatini,SWZ,2000,6467
Eswatini,SWZ,2005,10039
Eswatini,SWZ,2010,7346
Eswatini,SWZ,2015,4435
Eswatini,SWZ,2019,3321
India,IND,1990,1138
India,IND,1995,16865
India,IND,2000,95403
India,IND,2005,164997
India,IND,2010,127159
India,IND,2015,66792
India,IND,2019,46298
Kenya,KEN,1990,21636
Kenya,KEN,1995,84982
Kenya,KEN,2000,129471
Kenya,KEN,2005,124634
Kenya,KEN,2010,80975
Kenya,KEN,2015,61486
Kenya,KEN,2019,51135
Namibia,NAM,1990,267
Namibia,NAM,1995,2476
Namibia,NAM,2000,7912
Namibia,NAM,2005,9968
Namibia,NAM,2010,5176
Namibia,NAM,2015,4550
Namibia,NAM,2019,3772
South Africa,ZAF,1990,2850
South Africa,ZAF,1995,37044
South Africa,ZAF,2000,169847
South Africa,ZAF,2005,301614
South Africa,ZAF,2010,240024
South Africa,ZAF,2015,166978
South Africa,ZAF,2019,143851
