Entity,Code,Year,Breast
Austria,AUT,1999,78.7
Austria,AUT,2004,81.4
Austria,AUT,2009,82.9
Brazil,BRA,1999,78.2
Brazil,BRA,2004,86.9
Brazil,BRA,2009,87.4
Bulgaria,BGR,1999,68.0
Bulgaria,BGR,2004,71.2
Bulgaria,BGR,2009,73.9
Iceland,ISL,1999,83.0
Iceland,ISL,2004,88.1
Iceland,ISL,2009,85.3
Ireland,IRL,1999,73.1
Ireland,IRL,2004,77.7
Ireland,IRL,2009,80.0
Norway,NOR,1999,81.5
Norway,NOR,2004,84.1
Norway,NOR,2009,85.9
Romania,ROU,2009,75.0
Slovenia,SVN,1999,71.3
Slovenia,SVN,2004,78.3
Slovenia,SVN,2009,80.2
Sweden,SWE,1999,83.8
Sweden,SWE,2004,85.6
Sweden,SWE,2009,86.2
