Entity,Code,Year,"Railways, passengers carried (million passenger-km)"
Jordan,JOR,2005,1569000.0
Jordan,JOR,2010,503537000.0
North Macedonia,MKD,1995,65000000.0
North Macedonia,MKD,2000,176000000.0
North Macedonia,MKD,2005,94000000.0
North Macedonia,MKD,2010,155000000.0
North Macedonia,MKD,2015,178000000.0
North Macedonia,MKD,2018,64000000.0
Philippines,PHL,1995,220000000.0
Philippines,PHL,2000,123000000.0
Philippines,PHL,2015,342000000.0
Serbia,SRB,1995,2326000000.0
Serbia,SRB,2000,1236000000.0
Serbia,SRB,2005,713000000.0
Serbia,SRB,2010,522000000.0
Serbia,SRB,2015,509000000.0
South Africa,ZAF,1995,10243000000.0
South Africa,ZAF,2000,11890000000.0
South Africa,ZAF,2005,991000000.0
South Korea,KOR,1995,43340000000.0
South Korea,KOR,2000,49558000000.0
South Korea,KOR,2005,54641000000.0
South Korea,KOR,2010,58381000000.0
South Korea,KOR,2015,68371000000.0
Vietnam,VNM,1995,2133000000.0
Vietnam,VNM,2000,3200000000.0
Vietnam,VNM,2005,4558000000.0
Vietnam,VNM,2010,4378000000.0
Vietnam,VNM,2015,4233880000.0
Vietnam,VNM,2018,3542000000.0
