Entity,Code,Year,Deaths - Mental and substance use disorders - Sex: Both - Age: All Ages (Number)
Iceland,ISL,1990,31.74742095047818
Iceland,ISL,1995,32.37331614591742
Iceland,ISL,2000,36.03314708235855
Iceland,ISL,2005,36.056496057555464
Iceland,ISL,2010,36.887279922759056
Iceland,ISL,2015,26.793590777644635
Iceland,ISL,2017,11.840937352999266
Lebanon,LBN,1990,47.38033724877132
Lebanon,LBN,1995,64.26384286381358
Lebanon,LBN,2000,58.092663170541506
Lebanon,LBN,2005,62.16737565823739
Lebanon,LBN,2010,87.41720239101352
Lebanon,LBN,2015,151.84332903672748
Lebanon,LBN,2017,174.77400822801314
Low-middle SDI,,1990,4073.762018775124
Low-middle SDI,,1995,5579.304901899914
Low-middle SDI,,2000,7287.3248607776995
Low-middle SDI,,2005,9558.226479375058
Low-middle SDI,,2010,12113.038260646284
Low-middle SDI,,2015,15494.184127707347
Low-middle SDI,,2017,17750.837221418973
Moldova,MDA,1990,768.2265638496356
Moldova,MDA,1995,918.0446792237695
Moldova,MDA,2000,879.1270163917095
Moldova,MDA,2005,926.011462314506
Moldova,MDA,2010,789.1069960613665
Moldova,MDA,2015,709.3184111381635
Moldova,MDA,2017,712.029211825398
Senegal,SEN,1990,16.05231154523795
Senegal,SEN,1995,19.007075276251893
Senegal,SEN,2000,24.02829634910732
Senegal,SEN,2005,30.4637235048457
Senegal,SEN,2010,34.752713605705026
Senegal,SEN,2015,43.3662203590719
Senegal,SEN,2017,47.37948078622806
