Entity,Code,Year,Mean male height (cm),Mean female height (cm),Continent
Afghanistan,AFG,1996,165.2558607,155.0753231,
Albania,ALB,1996,173.3888563,161.7698561,
Algeria,DZA,1996,170.0718002,159.0896222,
American Samoa,ASM,1996,176.0451207,164.5213673,
Angola,AGO,1996,167.3107273,157.3052103,
Armenia,ARM,1996,171.9966462,158.0892096,
Australia,AUS,1996,179.2046477,165.8581773,
Bangladesh,BGD,1996,163.8082283,150.7888441,
Belgium,BEL,1996,181.698803,165.4911355,
Bolivia,BOL,1996,166.8462997,153.8883819,
Botswana,BWA,1996,171.6276505,161.3812749,
East Timor,TLS,1996,159.7905503,151.1508345,
El Salvador,SLV,1996,169.7711093,154.5488364,
Estonia,EST,1996,181.5934781,168.6727153,
Gambia,GMB,1996,165.401738,160.9349588,
Iran,IRN,1996,173.5713082,159.6668765,
Israel,ISR,1996,176.859217,161.8040824,
Liberia,LBR,1996,163.6602657,155.6603971,
Madagascar,MDG,1996,161.5474932,151.1801437,
North America,,1996,175.9695,162.7127,
