Entity,Code,Year,Total economic damages from natural disasters as a share of GDP - Drought,Total economic damages from natural disasters as a share of GDP - Flood,Total economic damages from natural disasters as a share of GDP - Earthquake,Total economic damages from natural disasters as a share of GDP - Extreme weather,Total economic damages from natural disasters as a share of GDP - Extreme temperature,Total economic damages from natural disasters as a share of GDP - Volcanic activity,Total economic damages from natural disasters as a share of GDP - Landslide,Total economic damages from natural disasters as a share of GDP - Wildfire,Total economic damages from natural disasters as a share of GDP - Glacial lake outburst,Total economic damages from natural disasters as a share of GDP - Dry mass movement
World,OWID_WRL,1960,0.0,0.0,0.10091386,0.03261141,,0.0,0.0,,,
World,OWID_WRL,1963,0.0,0.0,0.060121525,0.052589286,0.0,0.0,0.0,,,0.0
World,OWID_WRL,1966,0.0,0.10197249,0.016456405,0.014146777,0.0,0.0,1.2477476e-06,0.0,,
World,OWID_WRL,1969,0.00748583,0.020116162,0.0028936453,0.05721476,,7.2961307e-06,0.0,0.0,,
World,OWID_WRL,1972,0.0048989467,0.011382664,0.030546375,0.068190195,0.0,,0.0,,,
World,OWID_WRL,1978,0.026877893,0.012835624,0.015190798,0.016705072,0.0,0.0,0.0,0.0,,
World,OWID_WRL,1981,0.06422526,0.022191,0.016418487,0.014655207,0.0,0.0,0.0,0.0,,
World,OWID_WRL,1984,0.008148876,0.022405336,0.00064783567,0.044674926,0.0,0.0,0.00035040168,1.6297752e-05,,
World,OWID_WRL,1987,0.0,0.031395808,0.011187731,0.03795406,0.0,0.0,0.0036151977,0.0012131536,,5.776922e-06
World,OWID_WRL,1990,0.034023013,0.019489488,0.040368356,0.1150327,0.0003917255,3.511265e-05,0.0,0.0074394927,,0.0
World,OWID_WRL,1993,7.744055e-06,0.12726559,0.006855425,0.055692967,0.0,1.8895496e-06,0.0037500202,0.0038720279,,0.0
World,OWID_WRL,1996,0.0054892814,0.08977735,0.001803297,0.03389103,0.0,5.198183e-05,6.300828e-05,0.005396029,,
World,OWID_WRL,1999,0.028544392,0.047677495,0.1273867,0.13234374,0.003053856,0.0,0.0022876437,0.0014983318,,
World,OWID_WRL,2002,0.02254277,0.075504154,0.0059216344,0.042241447,0.0,2.5774701e-05,0.0005512922,0.0010370022,,0.0
World,OWID_WRL,2005,0.0009670931,0.037542913,0.014031974,0.3867231,0.0029298242,0.0,0.00011510023,0.008057016,,
World,OWID_WRL,2008,0.00036493636,0.030631486,0.13380377,0.09470895,0.034216683,0.0,0.0,0.003948799,,0.0
World,OWID_WRL,2011,0.011023909,0.09580463,0.31181583,0.06887864,0.0010576061,0.00014081142,0.0,0.0042473595,,
World,OWID_WRL,2014,0.013930215,0.04572532,0.009005036,0.050443344,0.0031580338,0.00023327812,0.00034239207,0.0003248335,,
World,OWID_WRL,2017,0.007520823,0.024986472,0.0118099,0.33599943,0.0,0.0,0.00018095675,0.020788526,,0.0
World,OWID_WRL,2021,0.015645549,0.07870126,0.011714363,0.14264984,0.0058023226,0.0013935936,0.00025903227,0.009588247,0.0002175871,
World,OWID_WRL,1975,,0.017877122,0.00030105765,0.024490388,0.010035255,0.0,0.0,,,
