Entity,Code,Year,OEC ECI Ranking (Observatory of Economic Complexity (2016))
Argentina,ARG,1964,49
Argentina,ARG,1970,49
Argentina,ARG,1980,52
Argentina,ARG,1990,43
Argentina,ARG,2000,53
Argentina,ARG,2010,60
Argentina,ARG,2016,60
Estonia,EST,2000,33
Estonia,EST,2010,29
Estonia,EST,2016,23
Ghana,GHA,1964,85
Ghana,GHA,1970,83
Ghana,GHA,1980,82
Ghana,GHA,1990,89
Ghana,GHA,2000,112
Ghana,GHA,2010,108
Ghana,GHA,2016,78
Honduras,HND,1964,50
Honduras,HND,1970,50
Honduras,HND,1980,71
Honduras,HND,1990,69
Honduras,HND,2000,83
Honduras,HND,2010,89
Japan,JPN,1964,5
Japan,JPN,1970,6
Japan,JPN,1980,4
Japan,JPN,1990,1
Japan,JPN,2000,1
Japan,JPN,2010,1
Japan,JPN,2016,2
Sudan,SDN,1964,91
Sudan,SDN,1970,95
Sudan,SDN,1980,88
Sudan,SDN,1990,84
Sudan,SDN,2000,115
Sudan,SDN,2010,118
Syria,SYR,1964,66
Syria,SYR,1970,56
Syria,SYR,1980,67
Syria,SYR,1990,71
Syria,SYR,2000,103
Syria,SYR,2010,82
