Entity,Code,Year,12.c.1 - Fossil-fuel subsidies (consumption and production) (billions of nominal United States dollars) - ER_FFS_CMPT_CD
Ecuador,ECU,2015,2540000000.0
Ecuador,ECU,2016,1540000000.0
Ecuador,ECU,2017,2490000000.0
Ecuador,ECU,2018,3520000000.0
Ecuador,ECU,2019,2890000000.0
Ecuador,ECU,2020,710000000.0
Ecuador,ECU,2021,1510000000.0
Ireland,IRL,2015,2710000000.0
Ireland,IRL,2016,2630000000.0
Ireland,IRL,2017,2860000000.0
Ireland,IRL,2018,3300000000.0
Ireland,IRL,2019,3140000000.0
Ireland,IRL,2020,2460000000.0
Turkmenistan,TKM,2015,5010000000.0
Turkmenistan,TKM,2016,3580000000.0
Turkmenistan,TKM,2017,3740000000.0
Turkmenistan,TKM,2018,4520000000.0
Turkmenistan,TKM,2019,2960000000.0
Turkmenistan,TKM,2020,1510000000.0
Turkmenistan,TKM,2021,6770000000.0
