Entity,Code,Year,Share of one person households
Bulgaria,BGR,2010,19.4
Bulgaria,BGR,2018,33.3
Colombia,COL,1990,6.624852222
Colombia,COL,2000,7.672811586
Colombia,COL,2010,9.438077262
Ecuador,ECU,1990,7.636873528
Ecuador,ECU,2010,12.12348666
France,FRA,2010,35.3
France,FRA,2018,36.2
Germany,DEU,2010,39.8
Germany,DEU,2018,41.7
Japan,JPN,1960,16.51434708
Japan,JPN,1970,20.25758362
Japan,JPN,1980,19.83397675
Japan,JPN,1990,23.08716583
Japan,JPN,2000,27.59867477
Japan,JPN,2010,32.37607956
Mexico,MEX,1970,4.316164483
Mexico,MEX,1990,4.871502415
Mexico,MEX,2000,6.43639734
Mexico,MEX,2010,9.42463422
Netherlands,NLD,2010,36.1
Netherlands,NLD,2018,38.3
Poland,POL,2010,25.2
Poland,POL,2018,25.0
Portugal,PRT,2010,17.7
Portugal,PRT,2018,23.1
United States,USA,1960,13.10062695
United States,USA,1970,17.11487198
United States,USA,1980,22.65029144
United States,USA,1990,24.63817787
United States,USA,2000,25.52313614
United States,USA,2010,26.71391296
United States,USA,2018,28.01247787
