Entity,Code,Year,Subject:Average hours worked per person employed - PDB_LV
Canada,CAN,1970,1924.771041
Canada,CAN,1980,1827.169011
Canada,CAN,1990,1797.104108
Canada,CAN,2000,1778.614639
Canada,CAN,2010,1703.027239
Canada,CAN,2016,1702.967177
Czechia,CZE,2000,1895.562155
Czechia,CZE,2010,1799.500518
Czechia,CZE,2016,1778.397081
Denmark,DNK,1970,1845.388221
Denmark,DNK,1980,1577.586481
Denmark,DNK,1990,1440.548975
Denmark,DNK,2000,1466.01706
Denmark,DNK,2010,1422.234935
Denmark,DNK,2016,1408.963504
Estonia,EST,2000,1977.872886
Estonia,EST,2010,1874.701697
Estonia,EST,2016,1855.199296
Finland,FIN,1970,1982.149653
Finland,FIN,1980,1849.188822
Finland,FIN,1990,1769.119129
Finland,FIN,2000,1742.070226
Finland,FIN,2010,1667.767131
Finland,FIN,2016,1634.943972
France,FRA,1970,1948.230073
France,FRA,1980,1778.86777
France,FRA,1990,1629.096067
France,FRA,2000,1549.964996
France,FRA,2010,1527.950982
France,FRA,2016,1502.728524
Iceland,ISL,1970,2350.163444
Iceland,ISL,1980,2029.93808
Iceland,ISL,1990,2002.718796
Iceland,ISL,2000,2040.0
Iceland,ISL,2010,1834.0
Iceland,ISL,2016,1883.0
Israel,ISR,1990,1904.337898
Israel,ISR,2000,2034.744466
Israel,ISR,2010,1956.267567
Israel,ISR,2016,1920.609713
Japan,JPN,1970,2243.0
Japan,JPN,1980,2121.0
Japan,JPN,1990,2031.0
Japan,JPN,2000,1821.0
Japan,JPN,2010,1733.0
Japan,JPN,2016,1713.0
Mexico,MEX,2000,2174.008193
Mexico,MEX,2010,2128.022383
Mexico,MEX,2016,2143.379133
New Zealand,NZL,1970,1900.694069
New Zealand,NZL,1980,1864.451513
New Zealand,NZL,1990,1809.0
New Zealand,NZL,2000,1836.0
New Zealand,NZL,2010,1755.0
New Zealand,NZL,2016,1752.0
OECD - Total,,2000,1830.655132
OECD - Total,,2010,1752.153289
OECD - Total,,2016,1749.031324
Poland,POL,2000,2081.697367
Poland,POL,2010,2048.800023
Poland,POL,2016,2050.359138
Switzerland,CHE,1970,2082.260024
Switzerland,CHE,1980,1900.726955
Switzerland,CHE,1990,1781.248152
Switzerland,CHE,2000,1682.750455
Switzerland,CHE,2010,1624.342848
Switzerland,CHE,2016,1589.675739
