Entity,Code,Year,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number)
Egypt,EGY,1990,56
Egypt,EGY,1995,93
Egypt,EGY,2000,109
Egypt,EGY,2005,116
Egypt,EGY,2010,95
Egypt,EGY,2015,84
Egypt,EGY,2019,56
European Region (WHO),,1990,15998
European Region (WHO),,1995,33849
European Region (WHO),,2000,24053
European Region (WHO),,2005,28589
European Region (WHO),,2010,30557
European Region (WHO),,2015,34287
European Region (WHO),,2019,31142
G20,,1990,60468
G20,,1995,161714
G20,,2000,331370
G20,,2005,538927
G20,,2010,440164
G20,,2015,321712
G20,,2019,280864
Grenada,GRD,1990,7
Grenada,GRD,1995,7
Grenada,GRD,2000,8
Grenada,GRD,2005,7
Grenada,GRD,2010,7
Grenada,GRD,2015,8
Grenada,GRD,2019,5
Italy,ITA,1990,1863
Italy,ITA,1995,4720
Italy,ITA,2000,1017
Italy,ITA,2005,1105
Italy,ITA,2010,835
Italy,ITA,2015,667
Italy,ITA,2019,621
Switzerland,CHE,1990,3
Switzerland,CHE,1995,511
Switzerland,CHE,2000,149
Switzerland,CHE,2005,72
Switzerland,CHE,2010,48
Switzerland,CHE,2015,32
Switzerland,CHE,2019,37
