Entity,Code,Year,Ratio of female to male labor force participation rate (%) (national estimate),Continent,Population (historical estimates)
Africa,,1960,,,284288223.0
Africa,,2021,,,1393676724.0
Argentina,ARG,1960,27.559614,,20349748.0
Argentina,ARG,2021,70.9487,,45276788.0
Asia,,1960,,,1698939691.0
Asia,,2021,,,4693332132.0
Brazil,BRA,1960,20.798107,,73092520.0
Brazil,BRA,2021,71.86771,,214326224.0
Brunei,BRN,1960,23.301987,,85361.0
Brunei,BRN,2021,76.60851,,445382.0
Chile,CHL,1960,26.724646,,8141826.0
Chile,CHL,2021,67.73585,,19493184.0
Denmark,DNK,1960,42.7566,,4581730.0
Denmark,DNK,2021,86.52958,,5854246.0
Europe,,1960,,,606215982.0
Europe,,2021,,,746417727.0
Finland,FIN,1960,57.60921,,4430178.0
Finland,FIN,2021,88.217896,,5535982.0
Hungary,HUN,1960,49.344673,,9982618.0
Hungary,HUN,2021,78.773865,,9709784.0
Iceland,ISL,1960,37.670284,,175583.0
Iceland,ISL,2021,89.35758,,370338.0
Jamaica,JAM,1960,54.97845,,1642331.0
Jamaica,JAM,2021,81.84036,,2827701.0
Japan,JPN,1960,64.26887,,94464840.0
Japan,JPN,2021,75.03506,,124612528.0
Mexico,MEX,1960,21.319962,,36268048.0
Mexico,MEX,2021,57.629803,,126705136.0
Morocco,MAR,1960,10.056057,,11769782.0
Morocco,MAR,2021,29.687498,,37076588.0
North America,,1960,,,264916376.0
North America,,2021,,,597123384.0
Philippines,PHL,1960,33.017834,,28486868.0
Philippines,PHL,2021,64.05409,,113880336.0
Poland,POL,1960,68.00975,,29509902.0
Poland,POL,2021,75.40734,,38307724.0
South Africa,ZAF,1960,30.413313,,16520438.0
South Africa,ZAF,2021,79.47402,,59392256.0
South America,,1960,,,149224306.0
South America,,2021,,,434254167.0
South Korea,KOR,1960,38.199482,,25817530.0
South Korea,KOR,2021,73.824585,,51830136.0
Switzerland,CHE,1960,40.456264,,5328275.0
Switzerland,CHE,2021,85.6219,,8691409.0
Trinidad and Tobago,TTO,1960,35.489857,,847067.0
Trinidad and Tobago,TTO,2021,74.10786,,1525671.0
Turkey,TUR,1960,69.79522,,27510982.0
Turkey,TUR,2021,46.705566,,84775408.0
United States,USA,1960,45.258102,,176188576.0
United States,USA,2021,82.97337,,336997632.0
