Entity,Code,Year,Inbound tourism purpose (personal),Inbound tourism purpose (business and professional),Continent
Albania,ALB,2021,5588400.0,100200.0,
Algeria,DZA,2021,21600.0,45400.0,
Angola,AGO,2021,57600.0,6100.0,
Anguilla,AIA,2021,28000.0,700.0,
Antigua and Barbuda,ATG,2021,163400.0,6000.0,
Armenia,ARM,2021,716300.0,154000.0,
Aruba,ABW,2021,772400.0,34300.0,
Australia,AUS,2021,192300.0,54000.0,
Belarus,BLR,2021,2632100.0,728900.0,
Bosnia and Herzegovina,BIH,2021,411200.0,90700.0,
Brunei,BRN,2021,1400.0,2100.0,
Bulgaria,BGR,2021,6322000.0,866400.0,
Cambodia,KHM,2021,105300.0,91100.0,
Chad,TCD,2021,15700.0,17400.0,
Comoros,COM,2021,24900.0,3900.0,
Costa Rica,CRI,2021,1254400.0,92700.0,
Cuba,CUB,2021,351700.0,4600.0,
Denmark,DNK,2021,17922000.0,483000.0,
Djibouti,DJI,2021,59500.0,54600.0,
Dominica,DMA,2021,11800.0,3200.0,
Fiji,FJI,2021,29400.0,2200.0,
Guam,GUM,2021,29000.0,13500.0,
Hungary,HUN,2021,34352100.0,2335400.0,
Indonesia,IDN,2021,841000.0,716500.0,
Italy,ITA,2021,30048700.0,10137000.0,
Jamaica,JAM,2021,1449900.0,14500.0,
Jordan,JOR,2021,1756200.0,255500.0,
Kiribati,KIR,2021,10.0,60.0,
Kuwait,KWT,2021,64400.0,20600.0,
Madagascar,MDG,2021,7173.0,582.0,
Malawi,MWI,2021,126000.0,305000.0,
Mexico,MEX,2021,31286800.0,573600.0,
Montserrat,MSR,2021,1361.0,230.0,
Papua New Guinea,PNG,2021,1800.0,15000.0,
Peru,PER,2021,433000.0,11300.0,
Seychelles,SYC,2021,181000.0,1900.0,
Tuvalu,TUV,2021,20.0,20.0,
Ukraine,UKR,2021,3932900.0,40300.0,
