Entity,Code,Year,Maize yield gap
Austria,AUT,2018,0.0
Austria,AUT,2019,0.0
Austria,AUT,2020,0.0
Austria,AUT,2021,0.0
Democratic Republic of Congo,COD,2018,3.6867
Democratic Republic of Congo,COD,2019,3.686
Democratic Republic of Congo,COD,2020,3.6867
Democratic Republic of Congo,COD,2021,3.6874
Philippines,PHL,2018,0.40540004
Philippines,PHL,2019,0.3297
Philippines,PHL,2020,0.3210001
Philippines,PHL,2021,0.26320004
Poland,POL,2018,3.5243998
Poland,POL,2019,3.889
Poland,POL,2020,2.3237
Poland,POL,2021,2.0668998
