Entity,Code,Year,"Population, female (% of total population)"
Guyana,GUY,1960,50.129547
Guyana,GUY,1970,50.237713
Guyana,GUY,1980,50.365597
Guyana,GUY,1990,50.517323
Guyana,GUY,2000,50.135895
Guyana,GUY,2010,50.264862
Guyana,GUY,2021,51.074924
Japan,JPN,1960,50.88656
Japan,JPN,1970,50.785206
Japan,JPN,1980,50.687073
Japan,JPN,1990,50.80113
Japan,JPN,2000,51.020782
Japan,JPN,2010,51.278393
Japan,JPN,2021,51.395287
Peru,PER,1960,49.72044
Peru,PER,1970,49.701515
Peru,PER,1980,49.954735
Peru,PER,1990,50.11793
Peru,PER,2000,50.138264
Peru,PER,2010,50.237103
Peru,PER,2021,50.482346
Suriname,SUR,1960,49.85581
Suriname,SUR,1970,49.362232
Suriname,SUR,1980,49.998135
Suriname,SUR,1990,50.176376
Suriname,SUR,2000,49.718998
Suriname,SUR,2010,49.77073
Suriname,SUR,2021,50.180347
