Entity,Code,Year,"Coffee, green | 00000656 || Production | 005510 || tonnes"
Brazil,BRA,1961,2228704.0
Brazil,BRA,1970,754800.0
Brazil,BRA,1980,1061195.0
Brazil,BRA,1990,1464856.0
Brazil,BRA,2000,1903562.0
Brazil,BRA,2010,2907265.0
Brazil,BRA,2021,2993780.0
China,CHN,1961,1500.0
China,CHN,1970,3800.0
China,CHN,1980,5000.0
China,CHN,1990,6300.0
China,CHN,2000,11568.0
China,CHN,2010,49596.0
China,CHN,2021,108000.0
India,IND,1961,43200.0
India,IND,1970,63619.0
India,IND,1980,149835.0
India,IND,1990,118100.0
India,IND,2000,292000.0
India,IND,2010,289600.0
India,IND,2021,334000.0
United States,USA,1961,3100.0
United States,USA,1970,1560.0
United States,USA,1980,522.0
United States,USA,1990,1016.0
United States,USA,2000,3950.0
United States,USA,2010,3990.0
United States,USA,2021,2270.0
