Entity,Code,Year,Share of the population not using improved water sources
China,CHN,2000,20.71946
China,CHN,2005,15.599281
China,CHN,2010,10.479263
China,CHN,2015,6.30175
China,CHN,2020,2.9770508
China,CHN,2022,1.8726044
India,IND,2000,15.926102
India,IND,2005,12.727676
India,IND,2010,9.610359
India,IND,2015,6.5839615
India,IND,2020,3.6582108
India,IND,2022,2.521988
Kenya,KEN,2000,45.440414
Kenya,KEN,2005,41.371693
Kenya,KEN,2010,37.430607
Kenya,KEN,2015,33.60784
Kenya,KEN,2020,29.91423
Kenya,KEN,2022,28.480385
Madagascar,MDG,2000,61.10196
Madagascar,MDG,2005,57.35815
Madagascar,MDG,2010,52.916256
Madagascar,MDG,2015,48.405598
Madagascar,MDG,2020,43.8478
Madagascar,MDG,2022,42.01753
Niger,NER,2000,57.6067
Niger,NER,2005,51.691093
Niger,NER,2010,45.82118
Niger,NER,2015,39.92804
Niger,NER,2020,33.906395
Niger,NER,2022,31.470741
Pakistan,PAK,2000,9.987091
Pakistan,PAK,2005,8.795044
Pakistan,PAK,2010,7.628601
Pakistan,PAK,2015,6.488434
Pakistan,PAK,2020,5.370842
Pakistan,PAK,2022,4.928009
Peru,PER,2000,18.631157
Peru,PER,2005,14.92289
Peru,PER,2010,11.635399
Peru,PER,2015,8.62677
Peru,PER,2020,5.7355423
Peru,PER,2022,4.6086807
