Entity,Code,Year,Wind - % electricity
Austria,AUT,1990,0.0
Austria,AUT,1995,0.0
Austria,AUT,2000,0.116959065
Austria,AUT,2005,2.0623353
Austria,AUT,2010,3.0334265
Austria,AUT,2015,7.825384
Austria,AUT,2020,9.813557
Austria,AUT,2022,10.558252
Denmark,DNK,1985,0.17637141
Denmark,DNK,1990,2.34796
Denmark,DNK,1995,3.211758
Denmark,DNK,2000,11.777777
Denmark,DNK,2005,18.244549
Denmark,DNK,2010,20.092617
Denmark,DNK,2015,48.842033
Denmark,DNK,2020,56.839542
Denmark,DNK,2022,54.997097
India,IND,1985,0.0
India,IND,1990,0.0105305575
India,IND,1995,0.11622883
India,IND,2000,0.27651867
India,IND,2005,0.85022426
India,IND,2010,2.0757997
India,IND,2015,2.4763637
India,IND,2020,3.8199933
India,IND,2022,3.7702239
United Kingdom,GBR,1985,0.0
United Kingdom,GBR,1990,0.003147029
United Kingdom,GBR,1995,0.11730029
United Kingdom,GBR,2000,0.2492972
United Kingdom,GBR,2005,0.728003
United Kingdom,GBR,2010,2.6932943
United Kingdom,GBR,2015,11.883614
United Kingdom,GBR,2020,24.158707
United Kingdom,GBR,2022,24.612837
United States,USA,1985,0.00021903927
United States,USA,1990,0.08713145
United States,USA,1995,0.089596815
United States,USA,2000,0.147024
United States,USA,2005,0.44138896
United States,USA,2010,2.3007143
United States,USA,2015,4.669943
United States,USA,2020,8.358273
United States,USA,2022,10.130839
World,OWID_WRL,1985,0.0006496035
World,OWID_WRL,1990,0.030369394
World,OWID_WRL,1995,0.061815836
World,OWID_WRL,2000,0.20664863
World,OWID_WRL,2005,0.58273286
World,OWID_WRL,2010,1.6418496
World,OWID_WRL,2015,3.4869585
World,OWID_WRL,2020,6.0077243
World,OWID_WRL,2022,7.3216615
