Entity,Code,Year,"Deaths that are from all causes attributed to ambient particulate matter pollution per 100,000 people, in both sexes aged age-standardized","GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Afghanistan,AFG,2019,56.89574,2079.9219,37769496.0,
Africa,,2019,,,1327701380.0,
Algeria,DZA,2019,76.5304,11627.28,42705372.0,
Angola,AGO,2019,45.035427,6602.424,32353592.0,
Argentina,ARG,2019,23.237638,22071.748,44745516.0,
Asia,,2019,,,4627738749.0,
Australia,AUS,2019,4.0612926,49379.094,25357168.0,
Azerbaijan,AZE,2019,108.391365,14442.041,10232761.0,
Belarus,BLR,2019,52.362114,19279.209,9673971.0,
Brazil,BRA,2019,19.280758,14685.128,211782880.0,
Burundi,BDI,2019,18.851147,729.65845,11874838.0,
Cambodia,KHM,2019,32.99185,4464.2944,16207746.0,
Cameroon,CMR,2019,74.626915,3756.5095,25782342.0,
Cape Verde,CPV,2019,76.07087,6835.0786,577037.0,
China,CHN,2019,81.28263,15977.764,1421864064.0,
Comoros,COM,2019,19.359491,3290.6506,790993.0,
Democratic Republic of Congo,COD,2019,30.264832,1059.8921,89906896.0,
Egypt,EGY,2019,157.46751,11180.697,105618672.0,
Eswatini,SWZ,2019,60.57175,8501.267,1169620.0,
Ethiopia,ETH,2019,18.908281,2181.659,114120592.0,
Europe,,2019,,,747418251.0,
Fiji,FJI,2019,48.40943,13241.354,918472.0,
Ghana,GHA,2019,79.77846,5345.9414,31522294.0,
Guatemala,GTM,2019,35.290676,8671.703,17106338.0,
Guyana,GUY,2019,70.175934,12820.489,798761.0,
Haiti,HTI,2019,26.39773,3101.5942,11160441.0,
India,IND,2019,95.63995,6608.624,1383112064.0,
Indonesia,IDN,2019,55.955513,11857.789,269582880.0,
Iraq,IRQ,2019,121.61964,10299.316,41563524.0,
Israel,ISR,2019,18.584593,40810.055,8607922.0,
Japan,JPN,2019,9.329786,41697.41,125791680.0,
Kazakhstan,KAZ,2019,67.08013,26351.805,18754260.0,
Kenya,KEN,2019,25.329508,4601.2114,50951452.0,
Kuwait,KWT,2019,64.062965,47314.797,4441105.0,
Latvia,LVA,2019,26.407883,31038.68,1916552.0,
Lesotho,LSO,2019,67.92253,2533.1191,2225710.0,
Malaysia,MYS,2019,43.638363,27674.402,32804024.0,
Mexico,MEX,2019,33.079895,20064.5,125085312.0,
Montenegro,MNE,2019,59.293118,21537.809,630403.0,
Morocco,MAR,2019,97.39308,8217.599,36304408.0,
Mozambique,MOZ,2019,14.361105,1285.1848,30285602.0,
Niger,NER,2019,23.496117,1217.446,23443400.0,
Nigeria,NGA,2019,59.121807,5076.368,203304496.0,
North America,,2019,,,590497015.0,
Oceania,,2019,,,43278474.0,
Oman,OMN,2019,127.02209,33814.113,4602769.0,
Palestine,PSE,2019,89.14338,6245.4487,4909775.0,
Philippines,PHL,2019,43.930347,8731.861,110380800.0,
Qatar,QAT,2019,128.86061,90840.43,2807242.0,
Russia,RUS,2019,31.80199,27254.574,145742288.0,
Samoa,WSM,2019,29.327765,6346.1465,211915.0,
Sao Tome and Principe,STP,2019,53.90041,4013.722,214612.0,
Saudi Arabia,SAU,2019,109.83766,44954.992,35827364.0,
Serbia,SRB,2019,69.44981,18310.08,7401056.0,
Singapore,SGP,2019,18.20713,98283.31,5866408.0,
Somalia,SOM,2019,7.7685437,1138.2859,15981312.0,
South America,,2019,,,428318218.0,
South Korea,KOR,2019,25.9355,42758.59,51803832.0,
Sri Lanka,LKA,2019,32.017303,13639.021,21649664.0,
Sudan,SDN,2019,88.728065,4133.1304,43232092.0,
Suriname,SUR,2019,45.37802,18449.2,600305.0,
Tajikistan,TJK,2019,115.84625,3575.2798,9337008.0,
Togo,TGO,2019,42.683014,2080.5242,8243093.0,
Turkey,TUR,2019,50.06995,28150.059,83481688.0,
Turkmenistan,TKM,2019,97.59217,14992.604,6158424.0,
United Arab Emirates,ARE,2019,100.65204,71782.16,9211660.0,
United States,USA,2019,8.487157,62478.254,334319680.0,
Uruguay,URY,2019,12.922371,23256.598,3428412.0,
Uzbekistan,UZB,2019,176.44565,7348.147,32976946.0,
Zambia,ZMB,2019,38.61774,3372.359,18380478.0,
