Entity,Code,Year,Quantity of oil spilled
World,OWID_WRL,1970,383000
World,OWID_WRL,1972,313000
World,OWID_WRL,1974,174000
World,OWID_WRL,1976,365000
World,OWID_WRL,1978,393000
World,OWID_WRL,1980,206000
World,OWID_WRL,1982,12000
World,OWID_WRL,1984,29000
World,OWID_WRL,1986,19000
World,OWID_WRL,1988,190000
World,OWID_WRL,1990,61000
World,OWID_WRL,1992,167000
World,OWID_WRL,1994,130000
World,OWID_WRL,1996,80000
World,OWID_WRL,1998,13000
World,OWID_WRL,2000,14000
World,OWID_WRL,2002,66000
World,OWID_WRL,2004,17000
World,OWID_WRL,2006,12000
World,OWID_WRL,2008,2000
World,OWID_WRL,2010,12000
World,OWID_WRL,2012,1000
World,OWID_WRL,2014,5000
World,OWID_WRL,2016,6000
World,OWID_WRL,2018,116000
World,OWID_WRL,2020,1000
World,OWID_WRL,2022,15000
