Entity,Code,Year,Life expectancy - Sex: male - Age: at birth - Variant: estimates
Brazil,BRA,1950,45.5
Brazil,BRA,1960,50.3
Brazil,BRA,1970,54.8
Brazil,BRA,1980,59.5
Brazil,BRA,1990,63.1
Brazil,BRA,2000,66.3
Brazil,BRA,2010,69.8
Brazil,BRA,2021,69.6
China,CHN,1950,42.1
China,CHN,1960,32.1
China,CHN,1970,54.7
China,CHN,1980,62.2
China,CHN,1990,65.7
China,CHN,2000,69.7
China,CHN,2010,73.1
China,CHN,2021,75.5
India,IND,1950,42.6
India,IND,1960,45.9
India,IND,1970,48.9
India,IND,1980,53.5
India,IND,1990,57.9
India,IND,2000,61.8
India,IND,2010,65.3
India,IND,2021,65.8
Japan,JPN,1950,57.6
Japan,JPN,1960,65.3
Japan,JPN,1970,69.3
Japan,JPN,1980,73.4
Japan,JPN,1990,75.9
Japan,JPN,2000,77.7
Japan,JPN,2010,79.5
Japan,JPN,2021,81.8
Mexico,MEX,1950,42.4
Mexico,MEX,1960,53.2
Mexico,MEX,1970,58.6
Mexico,MEX,1980,61.2
Mexico,MEX,1990,66.5
Mexico,MEX,2000,70.7
Mexico,MEX,2010,71.3
Mexico,MEX,2021,66.1
Nigeria,NGA,1950,34.6
Nigeria,NGA,1960,36.2
Nigeria,NGA,1970,38.8
Nigeria,NGA,1980,45.2
Nigeria,NGA,1990,44.6
Nigeria,NGA,2000,46.1
Nigeria,NGA,2010,50.5
Nigeria,NGA,2021,52.3
Norway,NOR,1950,69.9
Norway,NOR,1960,71.3
Norway,NOR,1970,71.0
Norway,NOR,1980,72.3
Norway,NOR,1990,73.4
Norway,NOR,2000,76.0
Norway,NOR,2010,78.8
Norway,NOR,2021,81.6
Spain,ESP,1950,59.3
Spain,ESP,1960,66.7
Spain,ESP,1970,69.3
Spain,ESP,1980,72.4
Spain,ESP,1990,73.4
Spain,ESP,2000,76.0
Spain,ESP,2010,79.0
Spain,ESP,2021,80.2
United Kingdom,GBR,1950,66.2
United Kingdom,GBR,1960,68.0
United Kingdom,GBR,1970,68.7
United Kingdom,GBR,1980,70.5
United Kingdom,GBR,1990,72.8
United Kingdom,GBR,2000,75.4
United Kingdom,GBR,2010,78.4
United Kingdom,GBR,2021,78.7
United States,USA,1950,65.4
United States,USA,1960,66.6
United States,USA,1970,67.0
United States,USA,1980,70.0
United States,USA,1990,71.8
United States,USA,2000,74.1
United States,USA,2010,76.3
United States,USA,2021,74.3
