Entity,Code,Year,Observation value - Unit_of_measure: Deaths per 100 live births - Indicator: Under-five mortality rate - Sex: Both sexes - Wealth_quintile: All wealth quintiles
Cape Verde,CPV,1990,6.0361342
Cape Verde,CPV,1995,5.66635
Cape Verde,CPV,2000,3.8089504
Cape Verde,CPV,2005,2.8038392
Cape Verde,CPV,2010,2.6463888
Cape Verde,CPV,2015,1.9739281
Cape Verde,CPV,2021,1.3548837
Central African Republic,CAF,1990,17.740772
Central African Republic,CAF,1995,17.42502
Central African Republic,CAF,2000,16.614275
Central African Republic,CAF,2005,14.97081
Central African Republic,CAF,2010,12.978224
Central African Republic,CAF,2015,11.553486
Central African Republic,CAF,2021,9.991608
Israel,ISR,1990,1.1634871
Israel,ISR,1995,0.86221313
Israel,ISR,2000,0.68919504
Israel,ISR,2005,0.55765164
Israel,ISR,2010,0.45566192
Israel,ISR,2015,0.39327282
Israel,ISR,2021,0.33565947
Qatar,QAT,1990,2.082946
Qatar,QAT,1995,1.5270383
Qatar,QAT,2000,1.248617
Qatar,QAT,2005,1.0429238
Qatar,QAT,2010,0.91542864
Qatar,QAT,2015,0.7758626
Qatar,QAT,2021,0.53061014
