Entity,Code,Year,"Prevalence of current tobacco use, males (% of male adults)"
Bahrain,BHR,2000,36.2
Bahrain,BHR,2005,33.0
Bahrain,BHR,2010,30.2
Bahrain,BHR,2015,27.6
Bahrain,BHR,2020,25.3
Mozambique,MOZ,2000,43.8
Mozambique,MOZ,2005,37.1
Mozambique,MOZ,2010,31.7
Mozambique,MOZ,2015,26.7
Mozambique,MOZ,2020,23.0
New Zealand,NZL,2000,30.0
New Zealand,NZL,2005,25.1
New Zealand,NZL,2010,21.3
New Zealand,NZL,2015,17.8
New Zealand,NZL,2020,15.0
Tunisia,TUN,2000,63.4
Tunisia,TUN,2005,59.2
Tunisia,TUN,2010,54.7
Tunisia,TUN,2015,50.6
Tunisia,TUN,2020,47.2
