Entity,Code,Year,"Gini coefficient (disposable income, post taxes and transfers)","Gini coefficient (market income, before taxes and transfers)",Population (historical estimates),Continent
Africa,,2019,,,1327701380.0,
Asia,,2019,,,4627738749.0,
Belgium,BEL,2019,0.262,0.489,11510569.0,
Brazil,BRA,2019,,,211782880.0,
Canada,CAN,2019,0.3,0.42,37522584.0,
Chile,CHL,2019,,,19039484.0,
Costa Rica,CRI,2019,0.478,0.532,5084527.0,
Czechia,CZE,2019,0.248,0.432,10536876.0,
Estonia,EST,2019,0.305,0.465,1327039.0,
Europe,,2019,,,747418251.0,
Germany,DEU,2019,0.296,0.497,83148144.0,
Hungary,HUN,2019,0.286,0.463,9771799.0,
Iceland,ISL,2019,,,360787.0,
Israel,ISR,2019,0.342,0.449,8607922.0,
Japan,JPN,2019,,,125791680.0,
Latvia,LVA,2019,0.344,0.47,1916552.0,
North America,,2019,,,590497015.0,
Oceania,,2019,,,43278474.0,
Poland,POL,2019,0.268,0.437,38493600.0,
Russia,RUS,2019,,,145742288.0,
Slovakia,SVK,2019,0.222,0.383,5453932.0,
South Africa,ZAF,2019,,,58087060.0,
South America,,2019,,,428318218.0,
South Korea,KOR,2019,0.339,0.404,51803832.0,
Spain,ESP,2019,0.32,0.491,47131372.0,
United Kingdom,GBR,2019,0.366,0.508,66778660.0,
United States,USA,2019,0.395,0.505,334319680.0,
