Entity,Code,Year,"Estimated mortality from all forms of tuberculosis per 100,000 population"
Cambodia,KHM,2000,58.0
Cambodia,KHM,2005,51.0
Cambodia,KHM,2010,34.0
Cambodia,KHM,2015,24.0
Cambodia,KHM,2020,20.0
Cambodia,KHM,2022,27.0
Georgia,GEO,2000,7.8
Georgia,GEO,2005,5.4
Georgia,GEO,2010,5.7
Georgia,GEO,2015,4.7
Georgia,GEO,2020,2.8
Georgia,GEO,2022,2.3
Italy,ITA,2000,1.1
Italy,ITA,2005,0.81
Italy,ITA,2010,0.73
Italy,ITA,2015,0.62
Italy,ITA,2020,0.56
Italy,ITA,2022,0.56
Kenya,KEN,2000,177.0
Kenya,KEN,2005,230.0
Kenya,KEN,2010,181.0
Kenya,KEN,2015,122.0
Kenya,KEN,2020,59.0
Kenya,KEN,2022,49.0
Sierra Leone,SLE,2000,120.0
Sierra Leone,SLE,2005,96.0
Sierra Leone,SLE,2010,61.0
Sierra Leone,SLE,2015,73.0
Sierra Leone,SLE,2020,56.0
Sierra Leone,SLE,2022,38.0
