Entity,Code,Year,Ozone-depleting substance emissions (Scientific Assessment 2014)
Natural emissions,,1961,165000
Natural emissions,,1970,165000
Natural emissions,,1980,165000
Natural emissions,,1990,165000
Natural emissions,,2000,165000
Natural emissions,,2010,165000
Natural emissions,,2014,165000
Total emissions,,1961,380000
Total emissions,,1970,720000
Total emissions,,1980,1080000
Total emissions,,1990,1320000
Total emissions,,2000,560000
Total emissions,,2010,380000
Total emissions,,2014,320000
