Entity,Code,Year,"GDP (output, multiple price benchmarks)"
Brazil,BRA,1950,88442675000
Brazil,BRA,1960,166540150000
Brazil,BRA,1970,354428450000
Brazil,BRA,1980,709313500000
Brazil,BRA,1990,954572000000
Brazil,BRA,2000,1653572400000
Brazil,BRA,2010,2938155600000
Brazil,BRA,2019,3080048600000
China,CHN,1960,652545800000
China,CHN,1970,1069680500000
China,CHN,1980,1678407500000
China,CHN,1990,2856361100000
China,CHN,2000,5420106600000
China,CHN,2010,13847619000000
China,CHN,2019,20257660000000
France,FRA,1950,324868700000
France,FRA,1960,519088400000
France,FRA,1970,905887200000
France,FRA,1980,1377955500000
France,FRA,1990,1581094800000
France,FRA,2000,2128715200000
France,FRA,2010,2591608500000
France,FRA,2019,2946958400000
Germany,DEU,1950,359301800000
Germany,DEU,1960,816785800000
Germany,DEU,1970,1239866700000
Germany,DEU,1980,1725220000000
Germany,DEU,1990,2221450200000
Germany,DEU,2000,3035471800000
Germany,DEU,2010,3672402000000
Germany,DEU,2019,4275312000000
India,IND,1950,352476600000
India,IND,1960,521473400000
India,IND,1970,796236500000
India,IND,1980,915997660000
India,IND,1990,1248876800000
India,IND,2000,2258594000000
India,IND,2010,5621831700000
India,IND,2019,9170555000000
Japan,JPN,1950,236383170000
Japan,JPN,1960,517906330000
Japan,JPN,1970,1366527700000
Japan,JPN,1980,2456738900000
Japan,JPN,1990,3658643400000
Japan,JPN,2000,4835114000000
Japan,JPN,2010,5114662000000
Japan,JPN,2019,5036891000000
Mexico,MEX,1950,140761430000
Mexico,MEX,1960,251321680000
Mexico,MEX,1970,472755630000
Mexico,MEX,1980,957265940000
Mexico,MEX,1990,1039442900000
Mexico,MEX,2000,1468585700000
Mexico,MEX,2010,1925128900000
Mexico,MEX,2019,2390322600000
Russia,RUS,1990,2493859500000
Russia,RUS,2000,1445962800000
Russia,RUS,2010,3468686300000
Russia,RUS,2019,4161194400000
United Kingdom,GBR,1950,523645400000
United Kingdom,GBR,1960,694652400000
United Kingdom,GBR,1970,928294760000
United Kingdom,GBR,1980,1246676500000
United Kingdom,GBR,1990,1445536700000
United Kingdom,GBR,2000,2075158800000
United Kingdom,GBR,2010,2481864800000
United Kingdom,GBR,2019,2989895500000
United States,USA,1950,2475627400000
United States,USA,1960,3522116200000
United States,USA,1970,5330969000000
United States,USA,1980,7309359000000
United States,USA,1990,9978170000000
United States,USA,2000,14095967000000
United States,USA,2010,16651722000000
United States,USA,2019,20595845000000
Venezuela,VEN,1950,32480220000
Venezuela,VEN,1960,61231403000
Venezuela,VEN,1970,116952420000
Venezuela,VEN,1980,180426520000
Venezuela,VEN,1990,166738800000
Venezuela,VEN,2000,209659200000
Venezuela,VEN,2010,540223860000
