Entity,Code,Year,Vaccine importance (strongly agree)
India,IND,2015,88.19
India,IND,2016,91.13
India,IND,2018,88.78
India,IND,2019,90.65
Jordan,JOR,2015,81.8
Jordan,JOR,2016,81.12
Jordan,JOR,2018,86.43
Jordan,JOR,2019,83.74
Kuwait,KWT,2015,83.38
Kuwait,KWT,2016,83.7
Kuwait,KWT,2018,80.37
Kuwait,KWT,2019,79.37
Libya,LBY,2015,71.92
Libya,LBY,2016,74.14
Libya,LBY,2018,76.86
Libya,LBY,2019,74.47
Montenegro,MNE,2015,43.87
Montenegro,MNE,2016,47.45
Montenegro,MNE,2018,53.7
Montenegro,MNE,2019,54.52
Nicaragua,NIC,2015,82.24
Nicaragua,NIC,2016,81.08
Nicaragua,NIC,2018,86.0
Nicaragua,NIC,2019,84.93
Russia,RUS,2015,38.2
Russia,RUS,2016,46.03
Russia,RUS,2018,61.61
Russia,RUS,2019,37.67
