Entity,Code,Year,Average performance of 15-year-old female students on the mathematics scale,Average performance of 15-year-old male students on the mathematics scale,Population (historical estimates),Continent
Chile,CHL,2022,403.36914,419.6559,,
Colombia,COL,2022,378.39865,387.3418,,
Guatemala,GTM,2022,338.0801,350.5671,,
Indonesia,IDN,2022,368.63916,362.25262,,
Japan,JPN,2022,531.14746,540.06067,,
Macao,MAC,2022,543.994,559.46155,,
Malaysia,MYS,2022,413.90387,403.45078,,
Mexico,MEX,2022,389.34753,401.44818,,
Romania,ROU,2022,425.21957,430.28415,,
Singapore,SGP,2022,568.4881,580.59344,,
Switzerland,CHE,2022,502.47095,513.35223,,
Turkey,TUR,2022,450.2904,456.03345,,
Ukraine,UKR,2022,435.8895,445.8129,,
United Kingdom,GBR,2022,481.67358,496.04343,,
United States,USA,2022,458.13904,471.40854,,
Uzbekistan,UZB,2022,360.86557,366.9073,,
