Entity,Code,Year,"Foreign direct investment, net outflows (% of GDP)"
Brazil,BRA,1970,0.033075295
Brazil,BRA,1980,0.15459564
Brazil,BRA,1990,0.17019616
Brazil,BRA,2000,0.38097078
Brazil,BRA,2010,1.2116146
Brazil,BRA,2021,1.1905991
Egypt,EGY,1980,0.03230286
Egypt,EGY,1990,0.027920669
Egypt,EGY,2000,0.051082477
Egypt,EGY,2010,0.536798
Egypt,EGY,2021,0.090809494
Germany,DEU,1980,0.43787587
Germany,DEU,1990,1.3567357
Germany,DEU,2000,5.039682
Germany,DEU,2010,4.313452
Germany,DEU,2021,4.546788
South Africa,ZAF,1970,0.07917656
South Africa,ZAF,1980,0.84440666
South Africa,ZAF,1990,0.022193283
South Africa,ZAF,2000,0.18265072
South Africa,ZAF,2010,-0.0386456
South Africa,ZAF,2021,-0.0015355209
South Korea,KOR,1980,0.06559769
South Korea,KOR,1990,0.39990467
South Korea,KOR,2000,0.8403825
South Korea,KOR,2010,2.4667788
South Korea,KOR,2021,3.3584363
United Kingdom,GBR,1970,1.2838247
United Kingdom,GBR,1980,1.9876119
United Kingdom,GBR,1990,2.5598495
United Kingdom,GBR,2000,17.528484
United Kingdom,GBR,2010,2.1838126
United Kingdom,GBR,2021,3.244662
United States,USA,1970,0.6046755
United States,USA,1980,0.6663617
United States,USA,1990,1.0051744
United States,USA,2000,1.8180758
United States,USA,2010,2.3245986
United States,USA,2021,1.808915
