Entity,Code,Year,"Current number of cases of down syndrome per 100 people, in both sexes aged age-standardized"
Cambodia,KHM,1990,0.013437949
Cambodia,KHM,1995,0.013016581
Cambodia,KHM,2000,0.011881866
Cambodia,KHM,2005,0.012690091
Cambodia,KHM,2010,0.013254753
Cambodia,KHM,2015,0.0139845945
Cambodia,KHM,2019,0.015999231
Japan,JPN,1990,0.04824098
Japan,JPN,1995,0.049601596
Japan,JPN,2000,0.05263206
Japan,JPN,2005,0.057720553
Japan,JPN,2010,0.061539665
Japan,JPN,2015,0.057792295
Japan,JPN,2019,0.05810241
Mozambique,MOZ,1990,0.010122888
Mozambique,MOZ,1995,0.009519569
Mozambique,MOZ,2000,0.009808688
Mozambique,MOZ,2005,0.010279776
Mozambique,MOZ,2010,0.010589193
Mozambique,MOZ,2015,0.010937062
Mozambique,MOZ,2019,0.011613093
Vietnam,VNM,1990,0.011457679
Vietnam,VNM,1995,0.0111412285
Vietnam,VNM,2000,0.011373805
Vietnam,VNM,2005,0.011562584
Vietnam,VNM,2010,0.011949883
Vietnam,VNM,2015,0.0123962015
Vietnam,VNM,2019,0.013797371
