Entity,Code,Year,Prevalence of anemia among children (% of children ages 6-59 months)
East Asia and Pacific (WB),,2000,32.001637
East Asia and Pacific (WB),,2005,27.267838
East Asia and Pacific (WB),,2010,23.80579
East Asia and Pacific (WB),,2015,22.801327
East Asia and Pacific (WB),,2019,23.383026
Europe and Central Asia (WB),,2000,23.164833
Europe and Central Asia (WB),,2005,20.704672
Europe and Central Asia (WB),,2010,19.28396
Europe and Central Asia (WB),,2015,19.083216
Europe and Central Asia (WB),,2019,19.831125
Latin America and Caribbean (WB),,2000,30.25868
Latin America and Caribbean (WB),,2005,28.211767
Latin America and Caribbean (WB),,2010,25.073156
Latin America and Caribbean (WB),,2015,22.004736
Latin America and Caribbean (WB),,2019,20.57334
Middle East and North Africa (WB),,2000,40.80929
Middle East and North Africa (WB),,2005,38.777096
Middle East and North Africa (WB),,2010,35.98952
Middle East and North Africa (WB),,2015,34.02713
Middle East and North Africa (WB),,2019,34.063576
North America (WB),,2000,6.581257
North America (WB),,2005,6.2469926
North America (WB),,2010,6.1890726
North America (WB),,2015,6.305087
North America (WB),,2019,6.740703
South Asia (WB),,2000,66.35325
South Asia (WB),,2005,61.420166
South Asia (WB),,2010,57.383026
South Asia (WB),,2015,53.900013
South Asia (WB),,2019,51.72941
Sub-Saharan Africa (WB),,2000,71.60601
Sub-Saharan Africa (WB),,2005,67.26149
Sub-Saharan Africa (WB),,2010,63.07992
Sub-Saharan Africa (WB),,2015,61.61727
Sub-Saharan Africa (WB),,2019,60.535442
World,OWID_WRL,2000,48.0
World,OWID_WRL,2005,44.9
World,OWID_WRL,2010,41.8
World,OWID_WRL,2015,40.0
World,OWID_WRL,2019,39.8
