Entity,Code,Year,GDP per capita growth (annual %)
Georgia,GEO,1970,10.975084
Georgia,GEO,1980,3.698497
Georgia,GEO,1990,-14.765158
Georgia,GEO,2000,3.8381
Georgia,GEO,2010,7.027385
Georgia,GEO,2021,10.885702
Hong Kong,HKG,1970,6.5836096
Hong Kong,HKG,1980,7.2071753
Hong Kong,HKG,1990,3.497439
Hong Kong,HKG,2000,6.7185016
Hong Kong,HKG,2010,5.986393
Hong Kong,HKG,2021,7.3171515
Jamaica,JAM,1970,10.589017
Jamaica,JAM,1980,-6.9772663
Jamaica,JAM,1990,3.3874588
Jamaica,JAM,2000,0.26336086
Jamaica,JAM,2010,-1.8714827
Jamaica,JAM,2021,4.3314805
South Africa,ZAF,1961,0.9779239
South Africa,ZAF,1970,2.123937
South Africa,ZAF,1980,3.8467014
South Africa,ZAF,1990,-3.339621
South Africa,ZAF,2000,3.2015104
South Africa,ZAF,2010,1.8177357
South Africa,ZAF,2021,3.8703153
United Arab Emirates,ARE,1980,10.975306
United Arab Emirates,ARE,1990,11.583141
United Arab Emirates,ARE,2000,4.8361297
United Arab Emirates,ARE,2010,-4.256386
United Arab Emirates,ARE,2021,3.0524006
