Entity,Code,Year,9.2.2 - Manufacturing employment as a proportion of total employment - 13th ICLS (%) - SL_TLF_MANF
Czechia,CZE,2010,25.3
Czechia,CZE,2015,27.31
Czechia,CZE,2021,26.03
Kuwait,KWT,2005,4.43
Lithuania,LTU,2000,18.21
Lithuania,LTU,2005,17.99
Lithuania,LTU,2010,15.37
Lithuania,LTU,2015,15.19
Lithuania,LTU,2021,16.55
Singapore,SGP,2000,20.73
Singapore,SGP,2005,16.71
Singapore,SGP,2015,11.11
Singapore,SGP,2021,2.31
South Africa,ZAF,2000,14.88
South Africa,ZAF,2005,15.59
South Africa,ZAF,2010,12.62
South Africa,ZAF,2015,10.09
South Africa,ZAF,2021,8.08
Spain,ESP,2000,18.74
Spain,ESP,2005,16.36
Spain,ESP,2010,12.85
Spain,ESP,2015,12.45
Spain,ESP,2021,12.25
