Entity,Code,Year,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Rate),"Age standardized homicide rate per 100,000 population - Both Sexes - All ages",Continent
Argentina,ARG,2019,6.39,3.5365062,
Armenia,ARM,2019,5.06,0.78637904,
Australia,AUS,2019,1.31,0.9129471,
Austria,AUT,2019,0.79,0.47735032,
Brazil,BRA,2019,30.42,20.072063,
Bulgaria,BGR,2019,2.63,0.7929481,
Costa Rica,CRI,2019,10.66,10.047527,
Croatia,HRV,2019,1.11,0.6773215,
Ecuador,ECU,2019,10.84,7.0400343,
Egypt,EGY,2019,0.52,0.09874391,
Estonia,EST,2019,4.45,1.6101627,
Georgia,GEO,2019,3.41,1.2144098,
Guatemala,GTM,2019,35.4,18.694902,
Japan,JPN,2019,0.56,0.209915,
Kazakhstan,KAZ,2019,9.53,4.2118535,
Kyrgyzstan,KGZ,2019,4.54,2.2815917,
Lebanon,LBN,2019,4.18,0.1991303,
Maldives,MDV,2019,1.97,0.09995006,
Mauritius,MUS,2019,2.49,2.6362376,
Netherlands,NLD,2019,0.84,0.6303157,
North Macedonia,MKD,2019,2.03,0.9537463,
Panama,PAN,2019,15.02,10.971757,
Poland,POL,2019,1.6,0.5917749,
Russia,RUS,2019,15.19,4.2796855,
Singapore,SGP,2019,0.44,0.22572277,
Slovakia,SVK,2019,2.17,0.5115657,
Slovenia,SVN,2019,0.92,0.3414146,
Thailand,THA,2019,5.75,1.5755274,
Ukraine,UKR,2019,11.99,2.8015041,
United Kingdom,GBR,2019,0.51,0.4665009,
United States,USA,2019,5.4,6.187541,
Uruguay,URY,2019,6.16,12.038598,
