Entity,Code,Year,Life expectancy - Sex: all - Age: at birth - Variant: estimates,CO2 emissions (metric tons per capita),Continent
Afghanistan,AFG,2019,63.6,0.16097645,
Albania,ALB,2019,79.3,1.6922483,
Algeria,DZA,2019,76.5,4.0100346,
Andorra,AND,2019,83.0,6.549389,
Angola,AGO,2019,62.4,0.7792026,
Antigua and Barbuda,ATG,2019,78.7,5.6449947,
Armenia,ARM,2019,75.4,2.1874764,
Australia,AUS,2019,83.1,15.253618,
Azerbaijan,AZE,2019,73.1,3.5423977,
Bahamas,BHS,2019,71.2,7.0200243,
Bahrain,BHR,2019,80.0,22.25958,
Bangladesh,BGD,2019,72.8,0.5482242,
Belarus,BLR,2019,74.2,6.1222377,
Belize,BLZ,2019,73.9,1.6448425,
Benin,BEN,2019,60.5,0.5939574,
Bhutan,BTN,2019,71.4,1.3681512,
Bolivia,BOL,2019,67.8,1.896867,
Bosnia and Herzegovina,BIH,2019,77.2,6.2695065,
Botswana,BWA,2019,65.5,2.9003458,
Brunei,BRN,2019,74.7,15.957155,
Burkina Faso,BFA,2019,60.0,0.23864481,
Burundi,BDI,2019,62.4,0.060632408,
Cape Verde,CPV,2019,76.0,1.1264578,
Central African Republic,CAF,2019,55.0,0.046071235,
Chad,TCD,2019,53.3,0.13951874,
Chile,CHL,2019,80.3,4.7989745,
Comoros,COM,2019,64.1,0.40455836,
Congo,COG,2019,62.7,1.3032397,
Cuba,CUB,2019,77.6,2.2895372,
Democratic Republic of Congo,COD,2019,60.3,0.035703603,
East Timor,TLS,2019,68.3,0.4842093,
Egypt,EGY,2019,71.4,2.3610408,
El Salvador,SLV,2019,72.6,1.2419953,
Equatorial Guinea,GNQ,2019,61.6,3.4448764,
Eritrea,ERI,2019,67.3,0.2515135,
Eswatini,SWZ,2019,60.5,0.8207843,
Ethiopia,ETH,2019,65.8,0.16088244,
France,FRA,2019,82.7,4.4595475,
Germany,DEU,2019,81.6,7.911621,
Ghana,GHA,2019,64.7,0.63574064,
Guyana,GUY,2019,69.1,3.5680616,
Haiti,HTI,2019,64.3,0.29747936,
Iraq,IRQ,2019,71.6,4.1998367,
Kazakhstan,KAZ,2019,71.6,11.456938,
Kenya,KEN,2019,62.9,0.43727905,
Kiribati,KIR,2019,67.1,0.72439855,
Lesotho,LSO,2019,54.2,0.34595826,
Libya,LBY,2019,72.5,8.646558,
Malawi,MWI,2019,64.1,0.076852396,
Malaysia,MYS,2019,75.8,7.7207003,
Malta,MLT,2019,83.2,3.2932456,
Mauritania,MRT,2019,65.7,0.9010347,
Mauritius,MUS,2019,75.1,3.294591,
Mozambique,MOZ,2019,61.2,0.24764249,
Nauru,NRU,2019,63.5,4.945598,
Nepal,NPL,2019,69.6,0.46648753,
Nicaragua,NIC,2019,74.1,0.7863235,
Niger,NER,2019,62.9,0.09171028,
Nigeria,NGA,2019,52.9,0.56703126,
Palau,PLW,2019,64.8,13.954007,
Panama,PAN,2019,77.8,3.1517777,
Rwanda,RWA,2019,66.4,0.10362268,
Somalia,SOM,2019,57.1,0.043175463,
South Africa,ZAF,2019,66.2,7.56864,
South Sudan,SSD,2019,55.9,0.16271578,
Sudan,SDN,2019,65.9,0.4769605,
Thailand,THA,2019,79.0,3.745595,
Turkmenistan,TKM,2019,69.0,11.832581,
Tuvalu,TUV,2019,64.3,0.91274184,
Vanuatu,VUT,2019,69.9,0.6898726,
