Entity,Code,Year,Statin use for primary prevention amongst elibible individuals
Afghanistan,AFG,2019,0.9
Algeria,DZA,2019,14.1
Armenia,ARM,2019,1.7
Bangladesh,BGD,2019,6.4
Belarus,BLR,2019,6.5
Botswana,BWA,2019,3.3
Burkina Faso,BFA,2019,0.0
Ethiopia,ETH,2019,0.0
Georgia,GEO,2019,3.6
Iran,IRN,2019,24.7
Jordan,JOR,2019,29.0
Kenya,KEN,2019,0.0
Lebanon,LBN,2019,25.4
Mexico,MEX,2019,11.3
Mongolia,MNG,2019,7.3
Morocco,MAR,2019,6.0
Myanmar,MMR,2019,3.2
Nepal,NPL,2019,1.5
Sudan,SDN,2019,5.9
Uganda,UGA,2019,10.1
Vietnam,VNM,2019,6.3
Zambia,ZMB,2019,0.6
