Entity,Code,Year,Annual working hours per worker,Productivity: output per hour worked,Population (historical estimates),Continent
Africa,,2019,,,1327701380.0,
Argentina,ARG,2019,1609.069,29.42588,44745516.0,
Asia,,2019,,,4627738749.0,
Australia,AUS,2019,1726.7976,61.438488,25357168.0,
Bangladesh,BGD,2019,2418.8828,4.791032,165516224.0,
Belgium,BEL,2019,1586.431,66.26524,11510569.0,
Brazil,BRA,2019,1707.795,19.195236,211782880.0,
Chile,CHL,2019,1914.4,28.418756,19039484.0,
China,CHN,2019,2168.919,11.692401,1421864064.0,
Colombia,COL,2019,1968.3673,16.958618,50187404.0,
Czechia,CZE,2019,1787.5435,40.932842,10536876.0,
Denmark,DNK,2019,1380.6077,76.00354,5795879.0,
Ecuador,ECU,2019,1551.6428,15.255215,17343742.0,
Europe,,2019,,,747418251.0,
Finland,FIN,2019,1590.6946,58.440796,5521539.0,
France,FRA,2019,1504.9124,68.63126,64399760.0,
Germany,DEU,2019,1386.1968,68.8512,83148144.0,
Hong Kong,HKG,2019,2147.5745,49.118412,7496121.0,
Hungary,HUN,2019,1725.2279,34.83344,9771799.0,
Iceland,ISL,2019,1454.4949,64.24422,360787.0,
India,IND,2019,2122.9407,8.680879,1383112064.0,
Indonesia,IDN,2019,2019.9233,11.843272,269582880.0,
Israel,ISR,2019,1900.8748,40.870785,8607922.0,
Italy,ITA,2019,1717.8339,56.090836,59727936.0,
Japan,JPN,2019,1691.0852,42.56412,125791680.0,
Luxembourg,LUX,2019,1505.5586,80.32644,619981.0,
Mexico,MEX,2019,2137.0,20.339481,125085312.0,
Netherlands,NLD,2019,1439.7316,69.77961,17363260.0,
North America,,2019,,,590497015.0,
Norway,NOR,2019,1384.0732,100.325645,5348285.0,
Oceania,,2019,,,43278474.0,
Pakistan,PAK,2019,1966.9072,8.772413,223293280.0,
Poland,POL,2019,2022.6322,37.07774,38493600.0,
Portugal,PRT,2019,1864.5884,35.147415,10289921.0,
Romania,ROU,2019,1791.7355,34.723377,19524212.0,
Russia,RUS,2019,1965.0,29.547054,145742288.0,
Singapore,SGP,2019,2330.1658,54.55258,5866408.0,
Slovenia,SVN,2019,1592.934,42.50005,2112905.0,
South Africa,ZAF,2019,2191.3633,17.969189,58087060.0,
South America,,2019,,,428318218.0,
South Korea,KOR,2019,1979.5262,40.768528,51803832.0,
Sri Lanka,LKA,2019,1922.5132,18.01952,21649664.0,
Switzerland,CHE,2019,1556.8828,82.918655,8575593.0,
Taiwan,TWN,2019,2085.1353,46.014313,23777742.0,
Thailand,THA,2019,2092.99,15.167234,71307768.0,
Turkey,TUR,2019,1832.0,43.692204,83481688.0,
United Kingdom,GBR,2019,1667.9478,54.34881,66778660.0,
United States,USA,2019,1765.3464,73.7004,334319680.0,
Uruguay,URY,2019,1532.5138,28.378277,3428412.0,
